table,row,label,units_cy,units_cy_prior
0,0,TOYOTA  U.S. SALES SUMMARY,,
0,1,December 2025,,
0,4,TOTAL TMNA,"2,518,071","2,332,623"
0,5,TOTAL TOYOTA DIV.,"2,147,811","1,986,954"
0,6,TOTAL LEXUS DIV.,"370,260","345,669"
0,7,COROLLA,"248,088","232,908"
0,8,SUPRA,"2,953","2,615"
0,9,GR86 (INCL FR-S),"9,940","11,426"
0,10,MIRAI,210,499
0,11,CROWN,"12,309","19,648"
0,12,PRIUS,"56,488","44,711"
0,13,CAMRY,"316,185","309,876"
0,14,TOTAL TOYOTA DIV. CAR,"646,176","621,696"
0,15,IS,"19,714","18,946"
0,16,RC,"1,349","1,854"
0,17,ES,"39,926","43,156"
0,18,LS,"1,082","2,163"
0,19,LC,"1,286","1,464"
0,20,TOTAL LEXUS DIV. CAR,"63,357","67,587"
0,21,TOTAL TMNA CAR,"709,533","689,283"
0,22,BZ,"15,609","18,570"
0,23,RAV4,"479,288","475,193"
0,24,COROLLA CROSS,"99,798","93,021"
0,25,CROWN SIGNIA,"20,550","10,263"
0,26,VENZA,707,"32,086"
0,27,HIGHLANDER,"56,208","89,658"
0,28,GRAND HIGHLANDER,"136,801","71,721"
0,29,4RUNNER,"98,805","92,156"
0,30,SEQUOIA,"26,186","26,097"
0,31,LAND CRUISER,"43,946","29,113"
0,32,TOTAL TOYOTA DIV. SUV,"977,901","937,880"
0,33,SIENNA,"101,486","75,037"
0,34,TACOMA,"274,638","192,813"
0,35,TUNDRA,"147,610","159,528"
0,36,TOTAL TOYOTA DIV. PICKUP,"422,248","352,341"
0,37,TOTAL TOYOTA DIV. TRUCK,"1,501,635","1,365,258"
0,38,UX,"8,421","8,877"
0,39,NX,"76,836","74,488"
0,40,RZ,"6,400","9,697"
0,41,RX,"113,256","118,636"
0,42,TX,"57,346","28,640"
0,43,GX,"37,180","30,914"
0,44,LX,"7,464","6,830"
0,45,TOTAL LEXUS DIV. TRUCK,"306,903","278,082"
0,46,TOTAL TMNA TRUCK,"1,808,538","1,643,340"
0,47,Selling Days,307,308
0,48,DSR = Daily Selling Rate,,
0,49,TOYOTA U.S. ELECTRIFIED VEHICLE SALES SUMMARY,,
0,50,December 2025,,
0,53,TOYOTA PRIUS HYBRID,"40,985","32,039"
0,54,TOYOTA PRIUS PLUG-IN HYBRID,"15,503","12,672"
0,55,TOYOTA COROLLA HYBRID,"50,245","50,190"
0,56,TOYOTA CAMRY HYBRID,"316,115","205,156"
0,57,TOYOTA MIRAI,210,499
0,58,TOYOTA CROWN,"12,309","19,648"
0,59,TOYOTA SIENNA HYBRID,"101,476","75,008"
0,60,TOYOTA 4RUNNER HYBRID,"21,456",0
0,61,TOYOTA HIGHLANDER HYBRID,"24,720","24,777"
0,62,TOYOTA GRAND HIGHLANDER HYBRID,"69,210","26,119"
0,63,TOYOTA SEQUOIA HYBRID,"26,186","26,091"
0,64,TOYOTA LAND CRUISER HYBRID,"43,946","29,113"
0,65,TOYOTA BZ BEV,"15,609","18,570"
0,66,TOYOTA RAV4 HYBRID,"181,433","208,356"
0,67,TOYOTA RAV4 PLUG-IN HYBRID,"20,272","31,093"
0,68,TOYOTA COROLLA CROSS HYBRID,"29,422","35,289"
0,69,TOYOTA CROWN SIGNIA,"20,550","10,263"
0,70,TOYOTA VENZA HYBRID,707,"32,086"
0,71,TOYOTA TACOMA HYBRID,"30,493","9,444"
0,72,TOYOTA TUNDRA HYBRID,"30,549","37,010"
0,73,LEXUS ES HYBRID,"16,063","18,481"
0,74,LEXUS UX HYBRID,"8,421","8,877"
0,75,LEXUS LX HYBRID,"2,883",0
0,76,LEXUS NX HYBRID,"30,203","27,129"
0,77,LEXUS NX PLUG-IN HYBRID,"7,008","6,301"
0,78,LEXUS RZ BEV,"6,400","9,697"
0,79,LEXUS RX HYBRID,"43,259","42,876"
0,80,LEXUS RX PLUG-IN HYBRID,"5,873","4,248"
0,81,LEXUS TX HYBRID,"10,740","4,812"
0,82,LEXUS TX PLUG-IN HYBRID,953,502
0,83,LEXUS LS HYBRID,38,94
0,84,LEXUS LC HYBRID,10,18
0,85,TOTAL TMNA Electrified Vehicles,"1,183,248","1,006,461"
0,86,TOTAL TOYOTA Electrified Vehicles,"1,051,397","883,426"
0,87,TOTAL LEXUS Electrified Vehicles,"131,851","123,035"
0,88,TOTAL TMNA SALES RATIO,47.0 %,43.1 %
0,89,Selling Days,307,308
