table,row,label,units_cy,units_cy_prior
0,1,Calendar year 2025 total sales (units),,
0,2,Nissan Division sales,,
0,3,INFINITI sales*,,
0,4,Fourth-quarter (Oct.-Dec.) 2025 total sales (units),,
0,5,Nissan Division sales,,
0,6,INFINITI sales*,,
1,2,Nissan Division Total,"873,307","865,938"
1,3,Versa,"51,310","42,589"
1,4,Sentra,"152,578","152,659"
1,5,Altima,"93,268","113,898"
1,6,Maxima,14,942
1,7,Z,"5,487","3,164"
1,8,GT‑R,39,267
1,9,Total Car,"302,696","313,519"
1,10,Kicks,"103,575","77,356"
1,11,LEAF,"5,149","11,226"
1,12,Frontier,"65,232","68,155"
1,13,Titan,"2,043","14,662"
1,14,Pathfinder,"101,598","80,915"
1,15,Armada,"17,465","15,267"
1,16,Rogue,"217,896","245,724"
1,17,Ariya,"14,906","19,798"
1,18,Murano,"42,747","19,316"
1,19,Total Truck,"570,611","552,419"
1,20,North American produced,"760,213","728,962"
1,21,Car,"301,819","321,314"
1,22,Truck,"458,394","407,648"
1,23,Import,"113,094","136,976"
1,24,Car,"5,526","3,431"
1,25,Truck,"107,568","133,545"
2,2,Infiniti Division Total,"52,846","58,070"
2,3,Infiniti Q50,529,"5,428"
2,4,Infiniti Q60,0,52
2,5,Infiniti QX50,"5,901","10,722"
2,6,Infiniti QX55,"2,288","3,721"
2,7,Infiniti QX60,"30,538","27,808"
2,8,Infiniti QX80,"13,590","10,339"
2,9,Total Car,529,"5,480"
2,10,Total Truck,"52,317","52,590"
3,2,TOTAL VEHICLE,"926,153","924,008"
3,3,Total Car,"303,225","318,999"
3,4,Total Truck,"622,928","605,009"
3,5,Selling days,307,308
