table,row,label,month,units_cy,units_cy_prior
0,1,Passenger vehicles,40997,503245,594593
0,2,Commercial vehicles,5334,62199,62397
0,3,Production in Japan,46331,565444,656990
0,4,US,39582,486232,524919
0,5,Mexico,35556,658536,669941
0,6,UK,20619,273174,284197
0,7,China,77330,660831,665437
0,8,Others,21809,305818,342986
0,9,Production outside Japan,194896,2384591,2487480
0,10,Global production,241227,2950035,3144470
1,1,Passenger vehicles,12339,193794,245539
1,2,Commercial vehicles,2713,43967,40995
1,3,Japan (registration),15052,237761,286534
1,4,Japan (minivehicles),13287,165216,188845
1,5,Japan (incl. minivehicles),28339,402977,475379
1,6,US,82019,926153,924008
1,7,Canada,7143,109743,103092
1,8,Mexico,29383,275662,256227
1,9,North America,118671,1313032,1284406
1,10,Europe,22053,329557,354939
1,11,China,57947,653024,696631
1,12,Others,45772,503547,537337
1,13,Sales outside Japan,244443,2799160,2873313
1,14,Global sales,272782,3202137,3348692
2,1,North America,11367,136643,191922
2,2,Europe,4321,38470,59814
2,3,Others,16538,154302,146734
2,4,Total exports from Japan,32226,329415,398470
