company,destination,cohort_year,units,basis,boundary_companies,publisher,title,url,note
toyota,US,2025,2518071,brand_total_sales,toyota;lexus,Toyota Motor Corporation,"Sales, Production and Export Results for 2025, detailed data workbook, sheet Sales by country・region, row U.S. (incl. Hawaii)",https://global.toyota/en/company/profile/production-sales-figures/202512.html,"the group workbook's US row; equals the sum of the Toyota and Lexus divisions in the Toyota Motor North America release used for the cohort (2,147,811 + 370,260)"
nissan,US,2025,926153,brand_total_sales,nissan;infiniti,Nissan Motor Corporation,"Production, sales and exports results for December and calendar year 2025, United States",https://global.nissannews.com/en/releases/nissan-production-sales-exports-dec-2025,"the group release's US total; equals the sum of the Nissan and Infiniti divisions in the US release used for the cohort (873,307 + 52,846)"
hyundai,US,2024,836802,brand_total_sales,hyundai,Hyundai Motor America,"December 2024 and full-year sales release, Hyundai brand total including fleet",https://www.hyundainews.com/en-us/releases,"the brand total published by the US subsidiary; the investor-relations sheet used for the cohort reports 836,802 for the Hyundai brand and 75,003 for Genesis, together its 911,805 total"
genesis,US,2024,75003,brand_total_sales,genesis,Genesis Motor America,"December 2024 and full-year sales release, Genesis brand total",https://www.genesisnewsroom.com/,"counted and held out of the Hyundai cohort, the same treatment as Lexus and Infiniti"
kia,US,2024,796488,brand_total_sales,kia,Kia America,Kia America posts all-time best annual sales for the second consecutive year (2024 annual sales release),https://www.kiamedia.com/us/en/media/pressreleases/22986/,the press-release total; equals the year-to-date column of the sales-by-month workbook used for the cohort
