code,plant_name,country
HMI,Hyundai Motor India,IN
HMTR,Hyundai Assan Otomotiv (Turkiye),TR
BHMC,Beijing Hyundai Motor,CN
HMMA,Hyundai Motor Manufacturing Alabama,US
HMGMA,Hyundai Motor Group Metaplant America (Georgia),US
HMMC,Hyundai Motor Manufacturing Czech,CZ
HMB,Hyundai Motor Brasil,BR
HMMI,Hyundai Motor Manufacturing Indonesia,ID
HTBC,Sichuan Hyundai (commercial vehicles),CN
KMX,Kia Mexico plant (Hyundai-badged output),MX
Vietnam,Hyundai Thanh Cong (Vietnam),VN
Singapore,Hyundai Motor Group Innovation Center Singapore,SG
Others,Other assembly,
CKD,Complete knock-down kits,
