country,fuel_id,ef_kgco2_per_tj,basis,year,source_key,source_url,table_reference,document_value,conversion,quote,source_id,note,accessed_date
ZA,sub_bituminous,96773,national,2026,za_nir_2026,https://www.gov.za/sites/default/files/gcis_document/202606/54758gon7537.pdf,Table 3.12,96 773,kg_co2_per_tj,600 87 099 1 1.5 Other bituminous coal 94 600 76 710 1 1.5 Sub-bituminous coal 96 100 96 773 1 1.5 Coke oven coke and lignite coke 107 000 NA 1 1.5 Gas coke 107 000 NA 1 0.1 Gas works gas 44 400 NA 1 0.1 Coke oven gas 44 400 NA 1 0.1 Blast furnace gas 260 000 NA 1 0.1 Oxygen steel furnace gas 182 000 NA 1 0.1 G,national_inventory_documents,"country-specific (Tier 2) factor beside the IPCC default in the same table; the report's narrative names sub-bituminous coal among the fuels whose country-specific factor exceeds the default, by 0.2 per cent",2026-09-07
ZA,anthracite,93331,national,2026,za_nir_2026,https://www.gov.za/sites/default/files/gcis_document/202606/54758gon7537.pdf,Table 3.12,93 331,kg_co2_per_tj,itumen 80 700 NA 3 0.6 Petroleum coke 97 500 NA 3 0.6 Solid Anthracite 98 300 93 331 1 1.5 Coking coal 94 600 87 099 1 1.5 Other bituminous coal 94 600 76 710 1 1.5 Sub-bituminous coal 96 100 96 773 1 1.5 Coke oven coke and lignite coke 107 000 NA 1 1.5 Gas coke 107 000 NA 1 0.1 Gas works gas 44 400 NA,national_inventory_documents,,2026-09-07
ZA,coking_coal,87099,national,2026,za_nir_2026,https://www.gov.za/sites/default/files/gcis_document/202606/54758gon7537.pdf,Table 3.12,87 099,kg_co2_per_tj,m coke 97 500 NA 3 0.6 Solid Anthracite 98 300 93 331 1 1.5 Coking coal 94 600 87 099 1 1.5 Other bituminous coal 94 600 76 710 1 1.5 Sub-bituminous coal 96 100 96 773 1 1.5 Coke oven coke and lignite coke 107 000 NA 1 1.5 Gas coke 107 000 NA 1 0.1 Gas works gas 44 400 NA 1 0.1 Coke oven gas 44 400 NA 1,national_inventory_documents,,2026-09-07
ZA,natural_gas,55709,national,2026,za_nir_2026,https://www.gov.za/sites/default/files/gcis_document/202606/54758gon7537.pdf,Table 3.12,55 709,kg_co2_per_tj,260 000 NA 1 0.1 Oxygen steel furnace gas 182 000 NA 1 0.1 Gases Natural gas 56 100 55 709 1 0.1 Biomass Wood/wood waste 112 000 NA 30 4 Other primary solid biomass 100 000 NA 30 4 Charcoal 112 000 NA 30 4 South Africa's country -specific CO2 emission factors were higher than the IPCC default emission factors,national_inventory_documents,,2026-09-07
ZA,residual_fuel_oil,73090,national,2026,za_nir_2026,https://www.gov.za/sites/default/files/gcis_document/202606/54758gon7537.pdf,Table 3.12,73 090,kg_co2_per_tj,sene 71 900 64 640 3 0.6 Gas/Diesel oil 74 100 74 638 3 0.6 Residual fuel oil 77 400 73 090 3 0.6 Liquified petroleum gases 63 100 64 852 1 0.1 Bitumen 80 700 NA 3 0.6 Petroleum coke 97 500 NA 3 0.6 Solid Anthracite 98 300 93 331 1 1.5 Coking coal 94 600 87 099 1 1.5 Other bituminous coal 94 600 76 710 1 1.5 S,national_inventory_documents,,2026-09-07
ZA,gas_diesel_oil,74638,national,2026,za_nir_2026,https://www.gov.za/sites/default/files/gcis_document/202606/54758gon7537.pdf,Table 3.12,74 638,kg_co2_per_tj,sene 71 500 73 463 3 0.6 Other kerosene 71 900 64 640 3 0.6 Gas/Diesel oil 74 100 74 638 3 0.6 Residual fuel oil 77 400 73 090 3 0.6 Liquified petroleum gases 63 100 64 852 1 0.1 Bitumen 80 700 NA 3 0.6 Petroleum coke 97 500 NA 3 0.6 Solid Anthracite 98 300 93 331 1 1.5 Coking coal 94 600 87 099 1 1.5 Other,national_inventory_documents,,2026-09-07
MY,bituminous,93131,national,2021,my_tnb_power_ef_2021,https://www.ipcc-nggip.iges.or.jp/efdb/src/202212_IPCCEFDB_TNBR_GHGEFSynthesisReport.pdf,Table F.3,"93,131",kg_co2_per_tj,"as Fuel CO2 EF [kgCO2/TJ] National Lower Upper Default IPCC Coal Bituminous 93,131 91,749 94,512 94,600 Sub- bituminous 96,551 95,706 97,396 96,100 Lignite 103,509 102,688 104,331 101,200 Natural Gas 50,151 46,365 55,993 56,100 5 Synthesis Report: Development of Greenhouse Gas (GHG) Emission Factor for the Electricity Sec",national_inventory_documents,"measured on all nine Malaysian coal power stations over 2017-2019; the national average of Table F.3, whose lower and upper columns are 91,749 and 94,512",2026-09-07
MY,sub_bituminous,96551,national,2021,my_tnb_power_ef_2021,https://www.ipcc-nggip.iges.or.jp/efdb/src/202212_IPCCEFDB_TNBR_GHGEFSynthesisReport.pdf,Table F.3,"96,551",kg_co2_per_tj,"Coal Bituminous 93,131 91,749 94,512 94,600 Sub- bituminous 96,551 95,706 97,396 96,100 Lignite 103,509 102,688 104,331 101,200 Natural Gas 50,151 46,365 55,993 56,100 5 Synthesis Report: Development of Greenhouse Gas (GHG) Emission Factor for the Electricity Sector in Malaysia Table F.4: Average Net Calor",national_inventory_documents,,2026-09-07
MY,lignite,103509,national,2021,my_tnb_power_ef_2021,https://www.ipcc-nggip.iges.or.jp/efdb/src/202212_IPCCEFDB_TNBR_GHGEFSynthesisReport.pdf,Table F.3,"103,509",kg_co2_per_tj,"9 94,512 94,600 Sub- bituminous 96,551 95,706 97,396 96,100 Lignite 103,509 102,688 104,331 101,200 Natural Gas 50,151 46,365 55,993 56,100 5 Synthesis Report: Development of Greenhouse Gas (GHG) Emission Factor for the Electricity Sector in Malaysia Table F.4: Average Net Calorific Value for Coal and Natural",national_inventory_documents,,2026-09-07
MY,natural_gas,50151,national,2021,my_tnb_power_ef_2021,https://www.ipcc-nggip.iges.or.jp/efdb/src/202212_IPCCEFDB_TNBR_GHGEFSynthesisReport.pdf,Table F.3,"50,151",kg_co2_per_tj,"5,706 97,396 96,100 Lignite 103,509 102,688 104,331 101,200 Natural Gas 50,151 46,365 55,993 56,100 5 Synthesis Report: Development of Greenhouse Gas (GHG) Emission Factor for the Electricity Sector in Malaysia Table F.4: Average Net Calorific Value for Coal and Natural Gas Fuel Net Calorific Value (MJ/kg) National Lo",national_inventory_documents,"11 per cent below the IPCC default, which the report attributes to the higher net calorific value of the gas its power plants burn; note that the report's Table F.5 states a carbon content of 12.59 kg C/GJ, which implies a lower factor than Table F.3's own EF",2026-09-07
ID,bituminous,99718,national,2020,id_esdm_energy_inventory_2020,https://www.esdm.go.id/assets/media/content/content-inventarisasi-emisi-gas-rumah-kaca-sektor-energi-tahun-2020.pdf,Tabel 1,99.718,kg_co2_per_tj,"l (IDO) 74.100 74.067 Residual Fuel Oil (RFO) 77.400 75.167 Batubara 96.100 99.718 Gas Alam 56.100 57.600 Sumber: - 2006 IPCC Guidelines for National Greenhouse Gas Inventories Volume 2 - Puslitbang Lemigas, 2019 - Puslitbang Tekmira, 2018 11 2.2 Penghitungan Emisi GRK Sektor Energi Secara umum, persa",national_inventory_documents,"the inventory publishes one local factor for coal (Batubara) rather than one per rank, from Puslitbang Tekmira's 2018 study; it is applied to every coal rank in Indonesia here, and the decimal points in the document are Indonesian thousands separators",2026-09-07
