country,series,year,value,unit,source_id,source_file
KR,daily_km_freight,2018,49.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2018.json
KR,daily_km_passenger_car,2018,35.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2018.json
KR,daily_km_special,2018,121.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2018.json
KR,daily_km_bus,2019,59.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2019.json
KR,daily_km_freight,2019,49.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2019.json
KR,daily_km_passenger_car,2019,35.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2019.json
KR,daily_km_special,2019,116.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2019.json
KR,daily_km_bus,2020,55.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2020.json
KR,daily_km_freight,2020,49.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2020.json
KR,daily_km_passenger_car,2020,34.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2020.json
KR,daily_km_special,2020,108.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2020.json
KR,daily_km_bus,2021,49.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2021.json
KR,daily_km_freight,2021,49.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2021.json
KR,daily_km_passenger_car,2021,37.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2021.json
KR,daily_km_special,2021,103.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2021.json
KR,daily_km_bus,2022,53.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2022.json
KR,daily_km_freight,2022,51.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2022.json
KR,daily_km_passenger_car,2022,33.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2022.json
KR,daily_km_special,2022,95.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2022.json
KR,daily_km_bus,2023,54.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2023.json
KR,daily_km_freight,2023,47.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2023.json
KR,daily_km_passenger_car,2023,33.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2023.json
KR,daily_km_special,2023,88.0,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2023.json
KR,daily_km_bus,2024,55.5,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2024.json
KR,daily_km_freight,2024,47.5,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2024.json
KR,daily_km_passenger_car,2024,33.1,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2024.json
KR,daily_km_special,2024,85.4,km_per_vehicle_day,kotsa_tmacs_vkm,kotsa_tmacs_daily_km_2024.json
