dataset,file,source_id,provider_id,licence_id,raw_redistribution,url
sales,eea_toyota_2024_final.json,eea_co2_monitoring_2024,eea,cc_by_4_0,open,https://creativecommons.org/licenses/by/4.0/
sales,eea_hyundai_2024_final.json,eea_co2_monitoring_2024,eea,cc_by_4_0,open,https://creativecommons.org/licenses/by/4.0/
sales,eea_kia_2024_final.json,eea_co2_monitoring_2024,eea,cc_by_4_0,open,https://creativecommons.org/licenses/by/4.0/
sales,eea_honda_2024_final.json,eea_co2_monitoring_2024,eea,cc_by_4_0,open,https://creativecommons.org/licenses/by/4.0/
country_emissions,owid_carbon_intensity_electricity.csv,owid_ember_grid_intensity,owid,cc_by_4_0,open,https://creativecommons.org/licenses/by/4.0/
country_emissions,epa_ghg_inventory_2025_table_3_13.csv,epa_ghg_inventory_2025,us_epa,us_public_domain,open,https://www.usa.gov/government-works
country_emissions,epa_ghg_inventory_2025_table_a_93.csv,epa_ghg_inventory_2025_annexes,us_epa,us_public_domain,open,https://www.usa.gov/government-works
country_emissions,epa_ghg_inventory_2025_table_a_91.csv,epa_ghg_inventory_2025_annexes,us_epa,us_public_domain,open,https://www.usa.gov/government-works
vehicle_usage,abs_motor_vehicle_census_2021.xls,abs_motor_vehicle_census_2021,abs,cc_by_4_0,open,https://creativecommons.org/licenses/by/4.0/
vehicle_usage,abs_survey_motor_vehicle_use_2020.xls,abs_survey_motor_vehicle_use_2020,abs,cc_by_4_0,open,https://creativecommons.org/licenses/by/4.0/
vehicle_usage,nhtsa_809952_passenger_car_survival.csv,nhtsa_809952,us_nhtsa,us_public_domain,open,https://www.usa.gov/government-works
vehicle_technology,epa_fueleconomy_vehicles.csv,epa_fueleconomy_vehicles,us_epa,us_public_domain,open,https://www.usa.gov/government-works
vehicle_usage,fhwa_vm1_2023.xlsx,fhwa_vm1_2023,us_fhwa,us_public_domain,open,https://www.usa.gov/government-works
emission_targets,ndc_anchors.csv,unfccc_ndc_registry,unfccc,unfccc_public_domain,open,https://unfccc.int/this-site/terms-of-use
emission_targets,eu_climate_targets.csv,eu_climate_law_2021_1119;ec_2040_com_2024_63;ec_2040_impact_assessment_transport,eu,eur_lex_reuse,open,https://eur-lex.europa.eu/content/legal-notice/legal-notice.html
vehicle_usage,eurostat_road_eqs_carpda.json,eurostat_road_eqs_carpda,eurostat,eurostat_reuse,open,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Copyright/licence_policy
vehicle_usage,eurostat_road_tf_veh.json,eurostat_road_tf_veh,eurostat,eurostat_reuse,open,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Copyright/licence_policy
vehicle_usage,eurostat_road_tf_vehmov.json,eurostat_road_tf_vehmov,eurostat,eurostat_reuse,open,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Copyright/licence_policy
vehicle_usage,eurostat_road_eqs_carage.json,eurostat_road_eqs_carage,eurostat,eurostat_reuse,open,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Copyright/licence_policy
country_emissions,eurostat_env_air_gge_car_co2.json,eurostat_env_air_gge_crf1a3b1,eurostat,eurostat_reuse,open,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Copyright/licence_policy
country_emissions,eurostat_env_air_gge_eu_power_co2.json,eurostat_env_air_gge_crf1a1a,eurostat,eurostat_reuse,open,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Copyright/licence_policy
country_emissions,eurostat_env_air_gge_eu_transport.json,eurostat_env_air_gge_crf1a3,eurostat,eurostat_reuse,open,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Copyright/licence_policy
country_emissions,anga_paris_inventory_australia.json,anga_odata_paris_inventory,dcceew,cc_by_4_0,open,https://creativecommons.org/licenses/by/4.0/
trade_flows,comtrade_kr_x_us_2022.json,un_comtrade_public,unsd,un_comtrade,derived_only,https://uncomtrade.org/docs/faqs-on-use-and-re-dissemination/
trade_flows,comtrade_kr_x_us_2023.json,un_comtrade_public,unsd,un_comtrade,derived_only,https://uncomtrade.org/docs/faqs-on-use-and-re-dissemination/
trade_flows,comtrade_kr_x_us_2024.json,un_comtrade_public,unsd,un_comtrade,derived_only,https://uncomtrade.org/docs/faqs-on-use-and-re-dissemination/
trade_flows,comtrade_kr_x_us_2025.json,un_comtrade_public,unsd,un_comtrade,derived_only,https://uncomtrade.org/docs/faqs-on-use-and-re-dissemination/
trade_flows,comtrade_us_m_kr_2022.json,un_comtrade_public,unsd,un_comtrade,derived_only,https://uncomtrade.org/docs/faqs-on-use-and-re-dissemination/
trade_flows,comtrade_us_m_kr_2023.json,un_comtrade_public,unsd,un_comtrade,derived_only,https://uncomtrade.org/docs/faqs-on-use-and-re-dissemination/
trade_flows,comtrade_us_m_kr_2024.json,un_comtrade_public,unsd,un_comtrade,derived_only,https://uncomtrade.org/docs/faqs-on-use-and-re-dissemination/
