분야 및 연도,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CO2 총배출량(kt CO2-eq),256267.35,286248.61,310421.34,344718.36,372283.57,401764.1,437283.39,458072.3,394728.56,430301.05,462898.48,482505.29,500405.66,512627.77,521974.19,524748.32,533517.38,546776.01,561457.93,564640.13,618413.64,651162.2,647722.73,653775.91,645934.45,650168.57,660414.06,677013.59,697579.19,673287.02,623833.06,650976.15,633764.79,621683.9
순배출량,216882.7,250848.03,275859.69,311742.66,336947.84,368183.8,400263.04,416050.85,344319.95,371700.01,402039.74,421410.51,441631.06,454168.85,462162.6,466903.48,474474.75,487021.41,500758.92,504167.73,560664.2,594219.51,596783,607133.66,598403.35,601968.29,611786.69,633756.56,655615.03,634196.15,584550.93,611684.17,595290.73,581828.51
에너지,219172.3,242960.55,260630.17,288174.91,312173.46,337711.41,371560.36,388533.27,330938.36,363578.93,393249.64,405976.62,423182.63,433275.71,442738.95,442697.47,449884.35,468435.86,480988.03,489589.3,540718.52,573348.82,568606.78,563505.09,555291.26,555733.93,566982.02,581576.39,604410.64,581655.32,539016.9,561902.45,547089.21,536521.24
A 연료연소,218985.32,242796.98,260500.1,288072.22,312092.49,337649.01,371506.22,388483.8,330890.51,363532.74,393203.84,405934.38,423145.74,433238.99,442694.38,442641.15,449830.99,468386.99,480945.68,489537.41,540669.06,573303.65,568562.25,563462.28,555255.91,555704.71,566954.68,581542.93,604381.81,581630.03,538995.85,561888.58,547078.58,536512.73
A 연료연소_1 에너지산업,41862.91,49781.26,58854.01,67011.41,81046.89,91650.47,109709.33,120169.74,107566.89,117320.37,135819.69,146598.02,155303.27,159257.12,171855.01,177703.37,186462.87,198786.72,211668.54,229789.41,253692.74,264016.86,268491.43,275114.77,262954.54,261273.91,262856.19,272622.82,296288.66,277663.84,245561.72,258208.85,256317.57,246843.12
A 연료연소_a 공공 전기 및 열 생산,37044.76,43623.51,51109.72,57898.08,71469.05,79276.27,96299.15,104197.73,92143.63,101496.92,120324.83,131435.29,141053.97,145126.17,156779.28,162729.58,171556.62,183816.94,195425.03,214045.02,239037.82,247819.58,252218.81,259272.77,243704.29,243463.01,243807.03,254191.08,275199.88,256165.93,225746.56,238363.89,236592.34,225672.72
A 연료연소_b 석유정제,4183.18,4965.94,6081.84,6775.56,7027.56,9271.65,10501.9,13134.09,13371.07,13845.9,13676.07,13801.89,13785.72,13347.33,13331.83,13856.89,13965.52,14204.72,15575.43,15149.36,13979.79,15317.36,15160.25,14751.99,18494.49,17143.28,18386.2,17248.76,20264.91,20628,19145.19,18872.3,18403.72,19583.96
A 연료연소_c 고체연료 제조 및 기타 에너지 산업,634.97,1191.81,1662.45,2337.78,2550.27,3102.56,2908.28,2837.92,2052.18,1977.55,1818.79,1360.84,463.58,783.62,1743.9,1116.89,940.73,765.06,668.08,595.03,675.14,879.91,1112.38,1090.01,755.76,667.62,662.96,1182.98,823.88,869.9,669.97,972.66,1321.52,1586.44
A 연료연소_2 제조업 및 건설업_2 제조업 및 건설업,71945.14,85016.98,88560.19,102635.2,102557.48,104272.86,111351.2,110941.73,100766.19,108518.88,115153.37,115287.74,118833.65,123985.46,124769.09,116009.43,118351.23,124007.66,127787.62,118716.8,141562.32,165680.72,156684.23,144092.07,153663.53,149235.63,152569.93,156708.04,156493.36,152473,148442.73,156299.4,143788.84,146548.55
A 연료연소_a 철강,27806.85,35147.82,37175.68,41653.99,41310.1,42942.78,43477.67,41549.44,42478.94,44929.72,46609.47,46822.91,49156.15,50181.79,52771.3,47009.65,49513.19,55225.54,58678.54,50894.38,68509.13,86528.63,84749.61,72142.23,84299.46,79211.26,78009.13,81594.79,83531.58,82554.78,79505.67,82885.96,73696.36,74895.79
A 연료연소_b 비철금속,547.94,544.09,403,415.85,942.72,1017.66,963.3,788,781.56,868.88,1168.62,1101.88,1136.79,1352.23,1336.61,1241.03,1269.07,1789.65,2006.67,2652.83,2206.76,2548.29,2255.68,2398.99,2398.08,2691.25,2656.55,2635.11,2913.65,2859.26,3189.54,3748.43,3474.27,3759.57
A 연료연소_c 화학,8551.63,10278.59,10408.71,11356.41,12069.09,11421.24,13300.5,16859,13533.63,14631.8,15222.29,15235.43,15078.8,17635.88,18527.58,17241.94,16965.47,17715.14,17433.87,18030.22,20039.22,21857.42,19352.39,20084.04,19934.07,18848.07,20760.55,22262.25,23607.05,22162.67,23516.1,25789.09,23068.07,24770.22
"A 연료연소_d 펄프, 제지 및 인쇄",2873.77,2880.05,3310.65,3478.06,4033.58,4129.75,4477.33,4493.14,3821.73,4196.98,3848.97,3540.36,3633.16,3646.9,3521.64,3145.33,2826.66,2560.28,2196.48,1982.83,1869.77,1574.16,1240.2,1146.08,919.4,850.16,2157.79,2242.64,2253.21,2401.83,2341.76,2332.87,2635.6,2706.07
