key,url,final_url,http_status,content_type,bytes,sha256,transport,registered_title,registered_year,checked,note
kong_gallagher_overseas_coal,https://doi.org/10.1016/j.enpol.2021.112334,https://linkinghub.elsevier.com/retrieve/pii/S0301421521002044,200,,,,doi_handle,The new coal champion of the world: The political economy of Chinese overseas development finance for coal-fired power plants,2021,2026-09-11,
kuhne_carbon_bombs,https://doi.org/10.1016/j.enpol.2022.112950,https://linkinghub.elsevier.com/retrieve/pii/S0301421522001756,200,,,,doi_handle,“Carbon Bombs” - Mapping key fossil fuel projects,2022,2026-09-11,
lu_vehicle_survivability,https://crashstats.nhtsa.dot.gov/Api/Public/ViewPublication/809952,https://crashstats.nhtsa.dot.gov/Api/Public/ViewPublication/809952,200,application/pdf,258882,,urllib,,,2026-09-11,
mdb_paris_alignment_direct_investment,https://documents1.worldbank.org/curated/en/099146306162392732/pdf/IDU0562589c907e1f047980b1b50e63bf0f19447.pdf,https://documents1.worldbank.org/curated/en/099146306162392732/pdf/IDU0562589c907e1f047980b1b50e63bf0f19447.pdf,200,application/pdf;charset=utf-8,,,urllib,,,2026-09-11,
mission_innovation_aef,https://www.fl4all.world/publications/towards-60-gigatonnes-of-climate-innovations-module-2,https://www.fl4all.world/publications/towards-60-gigatonnes-of-climate-innovations-module-2,200,text/html; charset=utf-8,,,urllib,,,2026-09-11,
newman_used_vehicle_exports,https://doi.org/10.1038/s41558-024-01943-1,https://www.nature.com/articles/s41558-024-01943-1,200,,,,doi_handle,Offshoring emissions through used vehicle exports,2024,2026-09-11,
oci_public_finance_energy_database,https://energyfinance.org,https://energyfinance.org,200,text/html; charset=UTF-8,2631,,urllib,,,2026-09-11,
oecd_arrangement_eu_transposition,https://eur-lex.europa.eu/eli/reg_del/2023/2738/oj,https://eur-lex.europa.eu/eli/reg_del/2023/2738/oj,200,text/html; charset=UTF-8,,,urllib,,,2026-09-11,
oecd_co2_embodied_trade,https://doi.org/10.1787/8f2963b8-en,https://www.oecd.org/en/publications/co2-emissions-embodied-in-international-trade-and-domestic-final-demand_8f2963b8-en.html,200,,,,doi_handle,CO2 emissions embodied in international trade and domestic final demand,2020,2026-09-11,
okeeffe_avoided_comparability,https://doi.org/10.1080/17583004.2026.2716309,https://www.tandfonline.com/doi/full/10.1080/17583004.2026.2716309,200,,,,doi_handle,Investigating comparability within corporate avoided emissions quantification,2026,2026-09-11,
okeeffe_brander_avoided_landscape,https://doi.org/10.1080/17583004.2025.2504936,https://www.tandfonline.com/doi/full/10.1080/17583004.2025.2504936,200,,,,doi_handle,Mapping the landscape of corporate avoided emissions accounting methodologies,2025,2026-09-11,
okeeffe_brander_comparison,https://doi.org/10.1016/j.jclepro.2026.147672,https://linkinghub.elsevier.com/retrieve/pii/S0959652626002118,200,,,,doi_handle,A comparison of methodologies for avoided emissions quantification,2026,2026-09-11,
pacta_changing_gear,https://pacta.rmi.org/wp-content/uploads/2023/06/chaning_gear.pdf,https://pacta.rmi.org/wp-content/uploads/2023/06/chaning_gear.pdf,200,application/pdf,2620168,,urllib,,,2026-09-11,
pacta_investors_methodology,https://www.transitionmonitor.com/wp-content/uploads/2023/02/PACTA-for-Investors-Methodology-document_Final.1.pdf,https://www.transitionmonitor.com/wp-content/uploads/2023/02/PACTA-for-Investors-Methodology-document_Final.1.pdf,200,application/pdf,2321611,,urllib,,,2026-09-11,
paris_agreement,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A22016A1019%2801%29,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A22016A1019%2801%29,200,text/html; charset=UTF-8,,,urllib,,,2026-09-11,
pcaf_facilitated_emissions,https://carbonaccountingfinancials.com/files/PCAF-PartB-ExecSum.pdf,https://carbonaccountingfinancials.com/files/PCAF-PartB-ExecSum.pdf,200,application/pdf,651911,,urllib,,,2026-09-11,
pcaf_financed_emissions,https://carbonaccountingfinancials.com/files/standard-launch-2025/PCAF-PartA-2025-V3.pdf,https://carbonaccountingfinancials.com/files/standard-launch-2025/PCAF-PartA-2025-V3.pdf,200,application/pdf,7000925,,urllib,,,2026-09-11,
pfeiffer_committed_power,https://doi.org/10.1088/1748-9326/aabc5f,https://iopscience.iop.org/article/10.1088/1748-9326/aabc5f,200,,,,doi_handle,Committed emissions from existing and planned power plants and asset stranding required to meet the Paris Agreement,2018,2026-09-11,
plevin_attributional_misleads,https://doi.org/10.1111/jiec.12074,https://onlinelibrary.wiley.com/doi/10.1111/jiec.12074,200,,,,doi_handle,Using Attributional Life Cycle Assessment to Estimate Climate‐Change Mitigation Benefits Misleads Policy Makers,2013,2026-09-11,
project_frame_methodology,https://projectframe.how/methodology,https://projectframe.how/methodology,200,text/html;charset=utf-8,252473,,urllib,,,2026-09-11,
sbti_automotive_standard_draft,https://files.sciencebasedtargets.org/production/files/Automotive-Sector-Net-Zero-Standard-V0.1-Second-Public-Consultation-Draft.pdf,https://files.sciencebasedtargets.org/production/files/Automotive-Sector-Net-Zero-Standard-V0.1-Second-Public-Consultation-Draft.pdf,200,application/pdf,4374935,,urllib,,,2026-09-11,
sbti_corporate_net_zero_v2,https://files.sciencebasedtargets.org/production/files/Corporate-Net-Zero-Standard-version-2.pdf,https://files.sciencebasedtargets.org/production/files/Corporate-Net-Zero-Standard-version-2.pdf,200,application/pdf,2492489,,urllib,,,2026-09-11,
sbti_land_transport_guidance,https://files.sciencebasedtargets.org/production/files/Land-Transport-Guidance.pdf,https://files.sciencebasedtargets.org/production/files/Land-Transport-Guidance.pdf,200,application/pdf,5701816,,urllib,,,2026-09-11,
sbti_sectoral_decarbonization,https://files.sciencebasedtargets.org/production/files/Sectoral-Decarbonization-Approach-Report.pdf,https://files.sciencebasedtargets.org/production/files/Sectoral-Decarbonization-Approach-Report.pdf,200,application/pdf,1238602,,urllib,,,2026-09-11,
seto_carbon_lock_in,https://doi.org/10.1146/annurev-environ-110615-085934,https://www.annualreviews.org/doi/10.1146/annurev-environ-110615-085934,200,,,,doi_handle,"Carbon Lock-In: Types, Causes, and Policy Implications",2016,2026-09-11,
sfoc_coal_insurers,https://content.forourclimate.org/files/research/o9dkFUe.pdf,https://content.forourclimate.org/files/research/o9dkFUe.pdf,200,application/pdf,864358,,urllib,,,2026-09-11,
steininger_consumption_based,https://doi.org/10.1080/14693062.2020.1728208,https://www.tandfonline.com/doi/full/10.1080/14693062.2020.1728208,200,,,,doi_handle,Consumption-based carbon accounting: sense and sensibility,2020,2026-09-11,
te_ev_progress_2026,https://www.transportenvironment.org/articles/ev-progress-report-2026,https://www.transportenvironment.org/articles/ev-progress-report-2026,200,text/html; charset=UTF-8,,,urllib,,,2026-09-11,
te_phev_gap_2025,https://uploads.transportenvironment.org/production/files/2025_09_TE_briefing_PHEV_gap_growing.pdf,https://uploads.transportenvironment.org/production/files/2025_09_TE_briefing_PHEV_gap_growing.pdf,200,application/pdf,415918,,urllib,,,2026-09-11,
tong_committed_emissions,https://doi.org/10.1038/s41586-019-1364-3,https://www.nature.com/articles/s41586-019-1364-3,200,,,,doi_handle,Committed emissions from existing energy infrastructure jeopardize 1.5 °C climate target,2019,2026-09-11,
tpi_automotive_carbon_performance,https://www.transitionpathwayinitiative.org/publications/uploads/2023-carbon-performance-assessment-of-the-automobile-manufacturers-note-on-methodology-2023,https://www.transitionpathwayinitiative.org/publications/uploads/2023-carbon-performance-assessment-of-the-automobile-manufacturers-note-on-methodology-2023,200,application/pdf,,,urllib,,,2026-09-11,
unep_used_vehicles_2020,https://www.unep.org/resources/report/global-trade-used-vehicles-report,https://www.unep.org/resources/report/global-trade-used-vehicles-report,200,text/html; charset=UTF-8,,,urllib,,,2026-09-11,
unep_used_vehicles_2024,https://www.unep.org/resources/report/used-vehicles-and-environment-global-overview-used-light-duty-vehicles-flow-scale,https://www.unep.org/resources/report/used-vehicles-and-environment-global-overview-used-light-duty-vehicles-flow-scale,200,text/html; charset=UTF-8,,,urllib,,,2026-09-11,
unfccc_ndc_registry,https://unfccc.int/NDCREG,https://unfccc.int/NDCREG,200,text/html,835,,urllib,,,2026-09-11,
wang_grounded_emissions_consequences,https://doi.org/10.2139/ssrn.7340599,https://www.ssrn.com/abstract=7340599,200,,,,doi_handle,From Scope 3 Inventory Reductions to Grounded Emissions Consequences: A Reachability-and Evidence-Constrained Accounting Framework,2026,2026-09-11,
wba_automotive_benchmark,https://www.worldbenchmarkingalliance.org/research/2024-automotive-and-transportation-manufacturers-benchmark/,https://www.worldbenchmarkingalliance.org/latest-insights?legacy-path=/research/2024-automotive-and-transportation-manufacturers-benchmark/,200,text/html; charset=UTF-8,,,urllib,,,2026-09-11,
wbcsd_avoided_emissions_v2,https://www.wbcsd.org/resources/guidance-on-avoided-emissions-helping-business-drive-innovations-and-scale-solutions-toward-net-zero/,https://www.wbcsd.org/resources/guidance-on-avoided-emissions-helping-business-drive-innovations-and-scale-solutions-toward-net-zero/,200,text/html; charset=UTF-8,,,urllib,,,2026-09-11,
wri_comparative_emissions_impacts,https://files.wri.org/d8/s3fs-public/estimating-and-reporting-comparative-emissions-impacts-products.pdf,https://files.wri.org/d8/s3fs-public/estimating-and-reporting-comparative-emissions-impacts-products.pdf,200,application/pdf,623906,,urllib,,,2026-09-11,
young_ferris_scope4_claims,https://doi.org/10.1108/aaaj-04-2023-6406,http://www.emerald.com/aaaj/article/38/1/60-89/1244958,200,,,,doi_handle,Making things (that don’t exist) count: a study of Scope 4 emissions accounting claims,2024,2026-09-11,
