company,model_year,model,base_model,powertrain,tailpipe_gco2_km,energy_wh_km,n_trims,test_cycle,source_id,source_file
honda,2024,Accord,Accord,ICE,172.12,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,Accord Hybrid,Accord,HEV,114.33,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,Accord Hybrid Sport/Touring,Accord,HEV,124.9,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,CR-V AWD,CR-V,HEV,147.26,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,CR-V AWD,CR-V,ICE,189.52,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,CR-V FWD,CR-V,HEV,138.57,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,CR-V FWD,CR-V,ICE,180.2,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,Civic 4Dr,Civic,ICE,162.55,,5,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,Civic 5Dr,Civic,ICE,179.4,,7,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,HR-V AWD,HR-V,ICE,202.57,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,HR-V FWD,HR-V,ICE,192.0,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,Odyssey,Odyssey,ICE,244.82,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,Passport AWD,Passport,ICE,258.49,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,Pilot AWD,Pilot,ICE,257.87,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
honda,2024,Pilot AWD Touring/Elite/Black,Pilot,ICE,262.22,,1,EPA,epa_fueleconomy_vehicles,epa_fueleconomy_vehicles.csv
