company,destination,destination_level,origin,cohort_year,period,model,powertrain,units,basis,source_file
hyundai,BR,country,BR,2025,2025-01..2025-12,Creta (SU2b),,75120,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,BR,country,BR,2025,2025-01..2025-12,HB20 (BR2),,122993,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,export,unknown,BR,2025,2025-01..2025-12,Creta (SU2b),,2405,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,export,unknown,BR,2025,2025-01..2025-12,HB20 (BR2),,12915,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,CN,country,CN,2025,2025-01..2025-12,,,391,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,CN,country,CN,2025,2025-01..2025-12,Custo (KU),,18603,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,CN,country,CN,2025,2025-01..2025-12,Elantra (CN7c),,62792,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,CN,country,CN,2025,2025-01..2025-12,Elexio (OE EV),,1216,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,CN,country,CN,2025,2025-01..2025-12,La festa (SQ),,478,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,CN,country,CN,2025,2025-01..2025-12,Mistra (DU2 EV),,1,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,CN,country,CN,2025,2025-01..2025-12,Mufasa (NU2),,4758,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,CN,country,CN,2025,2025-01..2025-12,Santa Fe (MX5c),,1834,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,CN,country,CN,2025,2025-01..2025-12,Santa Fe (TMc),,2,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,CN,country,CN,2025,2025-01..2025-12,Sonata (DN8c),,14829,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,CN,country,CN,2025,2025-01..2025-12,Tucson (NX4c),,23493,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,CN,country,CN,2025,2025-01..2025-12,Tucson HEV (NX4c HEV),,2,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,KR,country,CN,2025,2025-01..2025-12,Sonata (DN8c),,16492,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,export,unknown,CN,2025,2025-01..2025-12,,,1252,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,export,unknown,CN,2025,2025-01..2025-12,Custo (KU),,1443,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,export,unknown,CN,2025,2025-01..2025-12,Elantra (CN7c),,31818,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,export,unknown,CN,2025,2025-01..2025-12,Elexio (OE EV),,38,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,export,unknown,CN,2025,2025-01..2025-12,Mufasa (NU2),,7703,plant_sales,hyundai_2025_global_plant_sales.xlsx
hyundai,export,unknown,CN,2025,2025-01..2025-12,Santa Fe (MX5c),,2339,plant_sales,hyundai_2025_global_plant_sales.xlsx
