company,destination,destination_level,origin,cohort_year,period,model,source_label,powertrain,units,basis,source_id,source_file
toyota,JP,country,,2024,2024-01..2024-12,Corolla,カローラ,,166956,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Yaris,ヤリス,,166162,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Sienta,シエンタ,,111090,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
nissan,JP,country,,2024,2024-01..2024-12,Note,ノート,,101766,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Prius,プリウス,,83485,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
nissan,JP,country,,2024,2024-01..2024-12,Serena,セレナ,,80899,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Alphard,アルファード,,79374,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Voxy,ヴォクシー,,70636,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Noah,ノア,,70611,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Roomy,ルーミー,,67698,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Harrier,ハリアー,,64181,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Aqua,アクア,,64180,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Crown,クラウン,,62628,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Land Cruiser,ランドクルーザー,,51288,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Raize,ライズ,,51225,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,Vellfire,ヴェルファイア,,33105,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
nissan,JP,country,,2024,2024-01..2024-12,X-Trail,エクストレイル,,31776,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,RAV4,ＲＡＶ４,,30599,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
nissan,JP,country,,2024,2024-01..2024-12,Kicks,キックス,,14346,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,86,86,,8802,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,JPN Taxi,ＪＰＮ　ＴＡＸＩ,,8103,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2024,2024-01..2024-12,HiAce Wagon,ハイエースワゴン,,7087,registrations,jada_registration_statistics,jada_model_ranking_2024.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Yaris,ヤリス,,166533,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Corolla,カローラ,,138829,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Sienta,シエンタ,,106558,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Raize,ライズ,,100851,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Roomy,ルーミー,,95221,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Alphard,アルファード,,86959,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Noah,ノア,,80065,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Voxy,ヴォクシー,,78760,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
nissan,JP,country,,2025,2025-01..2025-12,Note,ノート,,78123,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
nissan,JP,country,,2025,2025-01..2025-12,Serena,セレナ,,71465,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Aqua,アクア,,68499,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Prius,プリウス,,63717,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Crown,クラウン,,56717,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Harrier,ハリアー,,52653,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Land Cruiser,ランドクルーザー,,45515,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,Vellfire,ヴェルファイア,,33031,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,RAV4,ＲＡＶ４,,29243,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
nissan,JP,country,,2025,2025-01..2025-12,X-Trail,エクストレイル,,19940,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
nissan,JP,country,,2025,2025-01..2025-12,Kicks,キックス,,9595,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
toyota,JP,country,,2025,2025-01..2025-12,HiAce Wagon,ハイエースワゴン,,8989,registrations,jada_registration_statistics,jada_model_ranking_2025.xlsx
