company,destination,destination_level,origin,cohort_year,period,model,powertrain,units,basis,source_id,source_file
toyota,US,country,,2025,2025-01..2025-12,COROLLA,HEV,50245,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
toyota,US,country,,2025,2025-01..2025-12,COROLLA,ICE,197843,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
toyota,US,country,,2025,2025-01..2025-12,SUPRA,ICE,2953,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
toyota,US,country,,2025,2025-01..2025-12,GR86 (INCL FR-S),ICE,9940,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
toyota,US,country,,2025,2025-01..2025-12,MIRAI,FCEV,210,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
toyota,US,country,,2025,2025-01..2025-12,CROWN,HEV,12309,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
toyota,US,country,,2025,2025-01..2025-12,PRIUS,HEV,40985,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
toyota,US,country,,2025,2025-01..2025-12,PRIUS,PHEV,15503,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
toyota,US,country,,2025,2025-01..2025-12,CAMRY,HEV,316115,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
toyota,US,country,,2025,2025-01..2025-12,CAMRY,ICE,70,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
lexus,US,country,,2025,2025-01..2025-12,IS,ICE,19714,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
lexus,US,country,,2025,2025-01..2025-12,RC,ICE,1349,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
lexus,US,country,,2025,2025-01..2025-12,ES,HEV,16063,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
lexus,US,country,,2025,2025-01..2025-12,ES,ICE,23863,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
lexus,US,country,,2025,2025-01..2025-12,LS,HEV,38,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
lexus,US,country,,2025,2025-01..2025-12,LS,ICE,1044,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
lexus,US,country,,2025,2025-01..2025-12,LC,HEV,10,brand_total_sales,tmna_us_sales_release,tmna_us_sales_2025.csv
