company,destination,destination_level,origin,cohort_year,period,model,powertrain,units,basis,source_file
kia,CN,country,CN,2026,2026-01..2026-06,Carnival,,439,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2026,2026-01..2026-06,EV5,,242,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,africa,region,CN,2026,2026-01..2026-06,EV5,,50,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2026,2026-01..2026-06,EV5,,3506,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2026,2026-01..2026-06,EV5,,522,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2026,2026-01..2026-06,EV5,,159,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2026,2026-01..2026-06,Forte,,3753,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2026,2026-01..2026-06,K3,,5736,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2026,2026-01..2026-06,K5,,198,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,eastern_europe,region,CN,2026,2026-01..2026-06,K5,,1907,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2026,2026-01..2026-06,KX1,,11439,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2026,2026-01..2026-06,Pegas,,10,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,africa,region,CN,2026,2026-01..2026-06,Pegas,,1008,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2026,2026-01..2026-06,Pegas,,858,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,eastern_europe,region,CN,2026,2026-01..2026-06,Pegas,,1441,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2026,2026-01..2026-06,Pegas,,15864,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2026,2026-01..2026-06,Pegas,,10955,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2026,2026-01..2026-06,Seltos,,8777,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,MX,country,CN,2026,2026-01..2026-06,Seltos,,7395,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,africa,region,CN,2026,2026-01..2026-06,Seltos,,864,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2026,2026-01..2026-06,Seltos,,684,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2026,2026-01..2026-06,Seltos,,5764,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2026,2026-01..2026-06,Seltos,,3683,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2026,2026-01..2026-06,Sonet,,32,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,MX,country,CN,2026,2026-01..2026-06,Sonet,,6056,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,africa,region,CN,2026,2026-01..2026-06,Sonet,,623,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2026,2026-01..2026-06,Sonet,,2745,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,eastern_europe,region,CN,2026,2026-01..2026-06,Sonet,,21,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2026,2026-01..2026-06,Sonet,,8214,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2026,2026-01..2026-06,Sonet,,2598,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2026,2026-01..2026-06,Sportage,,5151,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2026,2026-01..2026-06,Sportage,,263,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2026,2026-01..2026-06,Sportage,,6833,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2026,2026-01..2026-06,Zhipao,,223,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,IN,country,IN,2026,2026-01..2026-06,Carens,,31460,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,africa,region,IN,2026,2026-01..2026-06,Carens,,327,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,IN,2026,2026-01..2026-06,Carens,,466,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,eastern_europe,region,IN,2026,2026-01..2026-06,Carens,,197,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,latin_america,region,IN,2026,2026-01..2026-06,Carens,,1278,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,middle_east,region,IN,2026,2026-01..2026-06,Carens,,1505,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,IN,country,IN,2026,2026-01..2026-06,Carens Clavis EV,,2513,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,IN,2026,2026-01..2026-06,Carens Clavis EV,,6,retail_sales,kia_2026_retail_sales_by_model_market.xlsx
