company,destination,destination_level,origin,cohort_year,period,model,powertrain,units,basis,source_file
kia,CN,country,CN,2025,2025-01..2025-12,Carnival,,1280,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2025,2025-01..2025-12,EV5,,3192,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,africa,region,CN,2025,2025-01..2025-12,EV5,,94,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2025,2025-01..2025-12,EV5,,5723,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2025,2025-01..2025-12,EV5,,1370,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2025,2025-01..2025-12,EV5,,57,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2025,2025-01..2025-12,Forte,,9386,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2025,2025-01..2025-12,K3,,6525,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2025,2025-01..2025-12,K5,,1770,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,eastern_europe,region,CN,2025,2025-01..2025-12,K5,,4100,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2025,2025-01..2025-12,KX1,,21186,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2025,2025-01..2025-12,KX1,,2,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2025,2025-01..2025-12,KX3 / Seltos,,19388,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,MX,country,CN,2025,2025-01..2025-12,KX3 / Seltos,,15844,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,africa,region,CN,2025,2025-01..2025-12,KX3 / Seltos,,1808,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2025,2025-01..2025-12,KX3 / Seltos,,775,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2025,2025-01..2025-12,KX3 / Seltos,,10437,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2025,2025-01..2025-12,KX3 / Seltos,,11021,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2025,2025-01..2025-12,Pegas,,139,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,africa,region,CN,2025,2025-01..2025-12,Pegas,,2670,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2025,2025-01..2025-12,Pegas,,1595,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,eastern_europe,region,CN,2025,2025-01..2025-12,Pegas,,104,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2025,2025-01..2025-12,Pegas,,26249,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2025,2025-01..2025-12,Pegas,,33682,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2025,2025-01..2025-12,Sonet,,961,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,MX,country,CN,2025,2025-01..2025-12,Sonet,,13697,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,africa,region,CN,2025,2025-01..2025-12,Sonet,,1448,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,asia_pacific,region,CN,2025,2025-01..2025-12,Sonet,,6437,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,eastern_europe,region,CN,2025,2025-01..2025-12,Sonet,,16,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,latin_america,region,CN,2025,2025-01..2025-12,Sonet,,13878,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,middle_east,region,CN,2025,2025-01..2025-12,Sonet,,5672,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
kia,CN,country,CN,2025,2025-01..2025-12,Sportage,,15561,retail_sales,kia_2025_retail_sales_by_model_market.xlsx
