company_id,gem_unit_id,gem_location_id,plant_name,country,level,entity,share,source_url,source_id
kowepo,G100000811471,L100000809137,Al Ajban PV solar farm,AE,owner,Korea Western Power Co Ltd,0.2,https://www.gem.wiki/Al_Ajban_PV_solar_farm,gem_global_integrated_power_tracker
marubeni,G100000405012,L100000405577,Fujairah F2 Integrated Water and power plant,AE,parent,Marubeni Corp,0.2,https://www.gem.wiki/Fujairah_F2_Integrated_Water_and_power_plant,gem_global_integrated_power_tracker
marubeni,G100000405013,L100000405577,Fujairah F2 Integrated Water and power plant,AE,parent,Marubeni Corp,0.2,https://www.gem.wiki/Fujairah_F2_Integrated_Water_and_power_plant,gem_global_integrated_power_tracker
marubeni,G100000405014,L100000405577,Fujairah F2 Integrated Water and power plant,AE,parent,Marubeni Corp,0.2,https://www.gem.wiki/Fujairah_F2_Integrated_Water_and_power_plant,gem_global_integrated_power_tracker
marubeni,G100000405015,L100000405578,Fujairah F3 Integrated Water and power plant,AE,parent,Marubeni Corp,0.4,https://www.gem.wiki/Fujairah_F3_Integrated_Water_and_power_plant,gem_global_integrated_power_tracker
shikoku,G100000405045,L100000405579,Hamriyah IPP power station,AE,parent,Shikoku Electric Power Co Inc,0.25,https://www.gem.wiki/Hamriyah_IPP_power_station,gem_global_integrated_power_tracker
sumitomo_corp,G100000405045,L100000405579,Hamriyah IPP power station,AE,parent,Sumitomo Corp,0.25,https://www.gem.wiki/Hamriyah_IPP_power_station,gem_global_integrated_power_tracker
shikoku,G100000405046,L100000405579,Hamriyah IPP power station,AE,parent,Shikoku Electric Power Co Inc,0.25,https://www.gem.wiki/Hamriyah_IPP_power_station,gem_global_integrated_power_tracker
sumitomo_corp,G100000405046,L100000405579,Hamriyah IPP power station,AE,parent,Sumitomo Corp,0.25,https://www.gem.wiki/Hamriyah_IPP_power_station,gem_global_integrated_power_tracker
shikoku,G100000405047,L100000405579,Hamriyah IPP power station,AE,parent,Shikoku Electric Power Co Inc,0.25,https://www.gem.wiki/Hamriyah_IPP_power_station,gem_global_integrated_power_tracker
