country,scenario,calendar_year,grid_gco2_per_kwh,basis,r_power
AE,S1,2000,676.77,observed,0.043056459
AE,S1,2001,676.63,observed,0.043056459
AE,S1,2002,676.84,observed,0.043056459
AE,S1,2003,676.64,observed,0.043056459
AE,S1,2004,676.78,observed,0.043056459
AE,S1,2005,676.77,observed,0.043056459
AE,S1,2006,676.81,observed,0.043056459
AE,S1,2007,676.74,observed,0.043056459
AE,S1,2008,676.73,observed,0.043056459
AE,S1,2009,676.66,observed,0.043056459
AE,S1,2010,676.64,observed,0.043056459
AE,S1,2011,676.59,observed,0.043056459
AE,S1,2012,676.58,observed,0.043056459
AE,S1,2013,676.15,observed,0.043056459
AE,S1,2014,675.05,observed,0.043056459
AE,S1,2015,675.22,observed,0.043056459
AE,S1,2016,675.26,observed,0.043056459
AE,S1,2017,673.26,observed,0.043056459
AE,S1,2018,671.2,observed,0.043056459
AE,S1,2019,660.09,observed,0.043056459
AE,S1,2020,645.69,observed,0.043056459
AE,S1,2021,605.3,observed,0.043056459
AE,S1,2022,558.49,observed,0.043056459
AE,S1,2023,483.79,observed,0.043056459
AE,S1,2024,467.51,observed,0.043056459
AE,S1,2025,447.3807,pathway,0.043056459
AE,S1,2026,428.118,pathway,0.043056459
AE,S1,2027,409.6848,pathway,0.043056459
AE,S1,2028,392.0452,pathway,0.043056459
AE,S1,2029,375.1651,pathway,0.043056459
AE,S1,2030,359.0119,pathway,0.043056459
AE,S1,2031,343.5541,pathway,0.043056459
AE,S1,2032,328.7619,pathway,0.043056459
AE,S1,2033,314.6065,pathway,0.043056459
AE,S1,2034,301.0607,pathway,0.043056459
AE,S1,2035,288.0981,pathway,0.043056459
AE,S1,2036,275.6936,pathway,0.043056459
AE,S1,2037,263.8232,pathway,0.043056459
AE,S1,2038,252.4639,pathway,0.043056459
AE,S1,2039,241.5937,pathway,0.043056459
AE,S1,2040,231.1915,pathway,0.043056459
AE,S1,2041,221.2373,pathway,0.043056459
AE,S1,2042,211.7116,pathway,0.043056459
AE,S1,2043,202.596,pathway,0.043056459
AE,S1,2044,193.8729,pathway,0.043056459
AE,S1,2045,185.5255,pathway,0.043056459
AE,S1,2046,177.5374,pathway,0.043056459
AE,S1,2047,169.8933,pathway,0.043056459
AE,S1,2048,162.5783,pathway,0.043056459
AE,S1,2049,155.5782,pathway,0.043056459
AE,S1,2050,148.8796,pathway,0.043056459
AE,S1,2051,142.4693,pathway,0.043056459
AE,S1,2052,136.3351,pathway,0.043056459
AE,S1,2053,130.465,pathway,0.043056459
AE,S1,2054,124.8476,pathway,0.043056459
AE,S1,2055,119.4722,pathway,0.043056459
AE,S1,2056,114.3281,pathway,0.043056459
AE,S1,2057,109.4055,pathway,0.043056459
AE,S1,2058,104.6949,pathway,0.043056459
AE,S1,2059,100.1871,pathway,0.043056459
AE,S1,2060,95.8734,pathway,0.043056459
AE,S1,2061,91.7455,pathway,0.043056459
AE,S1,2062,87.7952,pathway,0.043056459
AE,S1,2063,84.0151,pathway,0.043056459
AE,S1,2064,80.3977,pathway,0.043056459
AE,S1,2065,76.936,pathway,0.043056459
AE,S1,2066,73.6234,pathway,0.043056459
AE,S1,2067,70.4535,pathway,0.043056459
AE,S1,2068,67.42,pathway,0.043056459
AE,S1,2069,64.5171,pathway,0.043056459
AE,S1,2070,61.7393,pathway,0.043056459
AE,S1,2071,59.081,pathway,0.043056459
AE,S1,2072,56.5372,pathway,0.043056459
AE,S1,2073,54.1029,pathway,0.043056459
AE,S1,2074,51.7734,pathway,0.043056459
AE,S1,2075,49.5442,pathway,0.043056459
AE,S1,2076,47.411,pathway,0.043056459
AE,S1,2077,45.3697,pathway,0.043056459
AE,S1,2078,43.4162,pathway,0.043056459
AE,S1,2079,41.5469,pathway,0.043056459
AE,S1,2080,39.758,pathway,0.043056459
AE,S1,2081,38.0462,pathway,0.043056459
AE,S1,2082,36.408,pathway,0.043056459
AE,S1,2083,34.8404,pathway,0.043056459
AE,S1,2084,33.3403,pathway,0.043056459
AE,S1,2085,31.9048,pathway,0.043056459
AE,S1,2086,30.5311,pathway,0.043056459
AE,S1,2087,29.2165,pathway,0.043056459
AE,S1,2088,27.9586,pathway,0.043056459
AE,S1,2089,26.7548,pathway,0.043056459
AE,S1,2090,25.6028,pathway,0.043056459
AE,S1,2091,24.5004,pathway,0.043056459
AE,S1,2092,23.4455,pathway,0.043056459
AE,S1,2093,22.4361,pathway,0.043056459
AE,S1,2094,21.47,pathway,0.043056459
AE,S1,2095,20.5456,pathway,0.043056459
AE,S1,2096,19.661,pathway,0.043056459
