company_id,company_name,company_country,phase,role_tier1,role_tier2,role_tier2_all,share,share_basis,origin,also_stated_by,gem_unit_id,gem_location_id,plant_name,country,fuel_type,status,capacity_mw,start_year,scenario,ti_lifetime_full_tco2,ti_lifetime_weighted_tco2,ti_remaining_full_tco2,ti_remaining_weighted_tco2,direction,tier,latitude,longitude,source_url
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_direct,equity_direct,0.25,equity_share,gem,,G100001063662,L100001055748,Triton Knoll (Innogy) wind farm,GB,wind,operating,857.0,2022,S1,-7978174.508,-1994543.627,-5941782.668,-1485445.667,contribution,B,53.2123,0.8616,https://www.gem.wiki/Triton_Knoll_(Innogy)_wind_farm
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_direct,equity_direct,0.25,equity_share,gem,,G100001063662,L100001055748,Triton Knoll (Innogy) wind farm,GB,wind,operating,857.0,2022,S2,-7978174.508,-1994543.627,-5941782.668,-1485445.667,contribution,B,53.2123,0.8616,https://www.gem.wiki/Triton_Knoll_(Innogy)_wind_farm
kansai,Kansai Electric Power,JP,investment,equity_owner,equity_direct,equity_direct,0.16,equity_share,gem,,G100001063662,L100001055748,Triton Knoll (Innogy) wind farm,GB,wind,operating,857.0,2022,S1,-7978174.508,-1276507.921,-5941782.668,-950685.227,contribution,B,53.2123,0.8616,https://www.gem.wiki/Triton_Knoll_(Innogy)_wind_farm
kansai,Kansai Electric Power,JP,investment,equity_owner,equity_direct,equity_direct,0.16,equity_share,gem,,G100001063662,L100001055748,Triton Knoll (Innogy) wind farm,GB,wind,operating,857.0,2022,S2,-7978174.508,-1276507.921,-5941782.668,-950685.227,contribution,B,53.2123,0.8616,https://www.gem.wiki/Triton_Knoll_(Innogy)_wind_farm
itochu,ITOCHU Corporation,JP,investment,equity_owner,equity_direct,equity_direct,0.2,equity_share,gem,,G100000200357,L100000200321,Wilton EFW power station,GB,bioenergy,operating,49.0,2018,S1,-1369592.653,-273918.531,-796860.106,-159372.021,contribution,C,54.587793,-1.127987,https://www.gem.wiki/Wilton_11_Energy_from_Waste_power_station
itochu,ITOCHU Corporation,JP,investment,equity_owner,equity_direct,equity_direct,0.2,equity_share,gem,,G100000200357,L100000200321,Wilton EFW power station,GB,bioenergy,operating,49.0,2018,S2,-1369592.653,-273918.531,-796860.106,-159372.021,contribution,C,54.587793,-1.127987,https://www.gem.wiki/Wilton_11_Energy_from_Waste_power_station
sumitomo_corp,Sumitomo Corporation,JP,investment,equity_owner,equity_parent,equity_parent,0.28,equity_share,gem,,G100000407094,L100000406753,Kpone IPP (KIPP) power station,GH,gas,operating,350.0,2019,S1,-11667905.797,-3267013.623,-10551911.041,-2954535.091,contribution,C,5.681203,0.041086,https://www.gem.wiki/Kpone_IPP_(KIPP)_power_station
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_direct,equity_direct,,equity_share,gem,,G100000806445,L100000805602,Mangilao solar farm,GU,solar,operating,60.0,2022,S1,-1363405.173,,-1129881.631,,contribution,B,13.4891,144.8613,https://www.gem.wiki/Mangilao_solar_farm
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_direct,equity_direct,,equity_share,gem,,G100000806445,L100000805602,Mangilao solar farm,GU,solar,operating,60.0,2022,S2,-763345.371,,-533823.028,,contribution,B,13.4891,144.8613,https://www.gem.wiki/Mangilao_solar_farm
kepco,Korea Electric Power Corporation,KR,operation,om_contractor,operator_of_record,operator_of_record,,none,gem,,G100000806445,L100000805602,Mangilao solar farm,GU,solar,operating,60.0,2022,S1,-1363405.173,,-1129881.631,,contribution,B,13.4891,144.8613,https://www.gem.wiki/Mangilao_solar_farm
kepco,Korea Electric Power Corporation,KR,operation,om_contractor,operator_of_record,operator_of_record,,none,gem,,G100000806445,L100000805602,Mangilao solar farm,GU,solar,operating,60.0,2022,S2,-763345.371,,-533823.028,,contribution,B,13.4891,144.8613,https://www.gem.wiki/Mangilao_solar_farm
