company_id,company_name,company_country,phase,role_tier1,role_tier2_all,scenario,units,units_with_share,units_from_register,units_from_company_ir,units_from_gem,units_from_wiki,capacity_mw,ti_lifetime_full_tco2,ti_lifetime_weighted_tco2,ti_remaining_full_tco2,ti_remaining_weighted_tco2,direction_full
itochu,ITOCHU Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S2,37,34,0,0,37,0,9312.5,106465622.192,21606297.897,109644120.352,30476455.396,liability
jbic,Japan Bank for International Cooperation,JP,finance,lender,project_loan,S1,36,1,0,3,0,33,25319.6,497610985.193,12985940.194,372384277.274,7471265.091,liability
jbic,Japan Bank for International Cooperation,JP,finance,lender,project_loan,S2,31,1,0,3,0,28,21606.0,710127267.628,12985940.194,592387685.082,7471265.091,liability
jera,JERA,JP,investment,equity_owner,equity_direct|equity_parent,S1,23,19,0,1,21,1,14494.0,-290729838.778,-129582205.467,-215541535.289,-105920611.06,contribution
jera,JERA,JP,investment,equity_owner,equity_direct|equity_parent,S2,17,14,0,1,16,0,9174.0,-80499906.206,-23072740.654,-4354016.477,-1576176.968,contribution
jera,JERA,JP,operation,om_contractor,operator_of_record,S1,3,0,0,0,3,0,4075.0,-172204500.652,0,-172204500.652,0,contribution
jgc,JGC Holdings,JP,investment,equity_owner,equity_direct|equity_parent,S1,5,4,0,0,5,0,1323.0,5107649.953,517187.68,3307098.491,365381.386,liability
jgc,JGC Holdings,JP,investment,equity_owner,equity_direct,S2,2,2,0,0,2,0,100.0,-716297.506,-171911.402,-166883.622,-40052.07,contribution
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_direct|equity_parent,S1,81,80,0,0,81,0,30138.9,1207631703.762,9648944.242,966061659.225,29595483.038,liability
jpower,Electric Power Development Co. (J-POWER),JP,investment,equity_owner,equity_direct|equity_parent,S2,81,80,0,0,81,0,30138.9,1295256318.491,57381482.34,1053686273.954,77328021.143,liability
jpower,Electric Power Development Co. (J-POWER),JP,construction,owners_engineer,construction_supervision,S1,2,0,0,2,0,0,600.0,65469316.3,0,45883274.941,0,liability
jpower,Electric Power Development Co. (J-POWER),JP,construction,owners_engineer,construction_supervision,S2,2,0,0,2,0,0,600.0,65469316.3,0,45883274.941,0,liability
kansai,Kansai Electric Power,JP,investment,equity_owner,equity_direct|equity_parent,S1,13,7,0,2,7,4,7409.0,214282116.75,26038011.623,139319751.26,20418909.523,liability
kansai,Kansai Electric Power,JP,investment,equity_owner,equity_direct|equity_parent,S2,12,6,0,2,6,4,7119.0,238365628.158,36119351.64,161320948.637,29563208.23,liability
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,S1,17,0,0,17,0,0,10291.8,236572104.183,0,245930495.9,0,liability
kepco,Korea Electric Power Corporation,KR,development,developer,sponsor_award,S2,11,0,0,11,0,0,7920.0,229057523.846,0,240976818.541,0,liability
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_direct|equity_parent,S1,96,81,0,10,84,2,41633.6,1413650425.821,257556269.223,1097116599.19,213881857.079,liability
kepco,Korea Electric Power Corporation,KR,investment,equity_owner,equity_direct|equity_parent,S2,89,75,0,10,77,2,34609.8,1677945904.398,375353583.25,1347213845.889,323003708.673,liability
kepco,Korea Electric Power Corporation,KR,operation,om_contractor,om_contract|operator_of_record,S1,17,0,0,8,9,0,8720.0,-241876330.808,0,-222356437.007,0,contribution
kepco,Korea Electric Power Corporation,KR,operation,om_contractor,om_contract|operator_of_record,S2,11,0,0,6,5,0,1780.0,-3208830.565,0,-5403558.74,0,contribution
kexim,Export-Import Bank of Korea,KR,finance,eca_cover,guarantee,S1,2,0,0,2,0,0,1320.0,112874836.632,0,102317233.878,0,liability
kexim,Export-Import Bank of Korea,KR,finance,eca_cover,guarantee,S2,2,0,0,2,0,0,1320.0,112874836.632,0,102317233.878,0,liability
kexim,Export-Import Bank of Korea,KR,finance,lender,project_loan,S1,9,4,0,2,0,7,6964.0,384566754.692,83698742.777,328179956.469,63226641.143,liability
kexim,Export-Import Bank of Korea,KR,finance,lender,project_loan,S2,9,4,0,2,0,7,6964.0,384566754.692,83698742.777,328179956.469,63226641.143,liability
khi,Kawasaki Heavy Industries,JP,construction,equipment_supplier,equipment_unspecified,S1,2,0,0,0,0,2,300.0,15253926.274,0,12848473.342,0,liability
khi,Kawasaki Heavy Industries,JP,construction,equipment_supplier,equipment_unspecified,S2,2,0,0,0,0,2,300.0,15253926.274,0,12848473.342,0,liability
khnp,Korea Hydro & Nuclear Power,KR,investment,equity_owner,equity_direct,S1,1,1,0,0,1,0,630.0,-1945815.745,-1945815.745,0.0,0.0,contribution
khnp,Korea Hydro & Nuclear Power,KR,investment,equity_owner,equity_direct,S2,1,1,0,0,1,0,630.0,-1945815.745,-1945815.745,0.0,0.0,contribution
koen,Korea South-East Power,KR,investment,equity_owner,equity_direct,S1,5,5,0,0,5,0,711.0,-18470822.046,-17547611.057,-18072210.162,-17348305.115,contribution
koen,Korea South-East Power,KR,investment,equity_owner,equity_direct,S2,2,2,0,0,2,0,42.0,-510739.174,-255369.586,-112127.29,-56063.644,contribution
koen,Korea South-East Power,KR,operation,om_contractor,operator_of_record,S1,1,0,0,0,1,0,21.0,-271945.089,0,-72639.147,0,contribution
koen,Korea South-East Power,KR,operation,om_contractor,operator_of_record,S2,1,0,0,0,1,0,21.0,-255369.587,0,-56063.645,0,contribution
komipo,Korea Midland Power,KR,development,developer,sponsor_award,S1,1,0,0,1,0,0,660.0,19675666.96,0,11320098.622,0,liability
komipo,Korea Midland Power,KR,development,developer,sponsor_award,S2,1,0,0,1,0,0,660.0,19675666.96,0,11320098.622,0,liability
komipo,Korea Midland Power,KR,investment,equity_owner,equity_direct,S1,7,2,0,2,5,0,2942.2,4159143.155,-7902833.837,-3621672.98,-7486290.934,liability
komipo,Korea Midland Power,KR,investment,equity_owner,equity_direct,S2,6,1,0,2,4,0,2446.2,23390704.153,-1415600.315,15609888.018,-999057.412,liability
komipo,Korea Midland Power,KR,operation,om_contractor,maintenance_support|om_contract,S1,4,0,0,4,0,0,2904.0,122726606.923,0,86304426.815,0,liability
komipo,Korea Midland Power,KR,operation,om_contractor,maintenance_support|om_contract,S2,4,0,0,4,0,0,2904.0,122726606.923,0,86304426.815,0,liability
komipo,Korea Midland Power,KR,construction,owners_engineer,technical_advisory,S1,2,0,0,2,0,0,2000.0,60664844.668,0,59450961.714,0,liability
komipo,Korea Midland Power,KR,construction,owners_engineer,technical_advisory,S2,2,0,0,2,0,0,2000.0,60664844.668,0,59450961.714,0,liability
kospo,Korea Southern Power,KR,construction,commissioning_contractor,commissioning_service,S1,2,0,0,2,0,0,1240.0,135153427.324,0,100230642.182,0,liability
kospo,Korea Southern Power,KR,construction,commissioning_contractor,commissioning_service,S2,2,0,0,2,0,0,1240.0,135153427.324,0,100230642.182,0,liability
kospo,Korea Southern Power,KR,investment,equity_owner,equity_direct,S1,6,6,0,2,4,0,4416.0,40544314.038,17505597.85,41507445.025,17991412.294,liability
kospo,Korea Southern Power,KR,investment,equity_owner,equity_direct,S2,5,5,0,2,3,0,4364.0,56505650.374,25905640.51,57104356.254,26209242.401,liability
kospo,Korea Southern Power,KR,operation,om_contractor,om_contract|operator_of_record,S1,2,0,0,1,1,0,425.0,-7871018.425,0,-2173848.18,0,contribution
kowepo,Korea Western Power,KR,investment,equity_owner,equity_direct,S1,2,2,0,0,2,0,1910.0,-36414416.842,-8319033.985,-33470455.627,-7583043.681,contribution
kowepo,Korea Western Power,KR,investment,equity_owner,equity_direct,S2,1,1,0,0,1,0,1500.0,-15691404.497,-3138280.899,-15691404.497,-3138280.899,contribution
kowepo,Korea Western Power,KR,operation,om_contractor,operator_of_record,S1,1,0,0,0,1,0,1500.0,-15691404.497,0,-15691404.497,0,contribution
kowepo,Korea Western Power,KR,operation,om_contractor,operator_of_record,S2,1,0,0,0,1,0,1500.0,-15691404.497,0,-15691404.497,0,contribution
ksure,Korea Trade Insurance Corporation,KR,finance,eca_cover,cover_unspecified,S1,2,0,0,0,0,2,1240.0,135153427.324,0,100230642.182,0,liability
ksure,Korea Trade Insurance Corporation,KR,finance,eca_cover,cover_unspecified,S2,2,0,0,0,0,2,1240.0,135153427.324,0,100230642.182,0,liability
kyushu,Kyushu Electric Power,JP,investment,equity_owner,equity_direct|equity_parent,S1,14,14,0,0,14,0,7615.9,-181061377.908,-41180282.886,-123377382.88,-31024957.327,contribution
kyushu,Kyushu Electric Power,JP,investment,equity_owner,equity_direct|equity_parent,S2,13,13,0,0,13,0,6042.9,-69269408.385,-13601842.25,-11585413.357,-3446516.692,contribution
lotte_ec,Lotte Engineering & Construction,KR,investment,equity_owner,equity_direct,S1,1,1,0,0,1,0,496.0,-18460279.325,-1107616.759,-18460279.325,-1107616.759,contribution
marubeni,Marubeni Corporation,JP,development,developer,sponsor_award,S1,2,2,0,2,0,0,1320.0,112874836.632,56437418.316,102317233.878,51158616.94,liability
marubeni,Marubeni Corporation,JP,development,developer,sponsor_award,S2,2,2,0,2,0,0,1320.0,112874836.632,56437418.316,102317233.878,51158616.94,liability
marubeni,Marubeni Corporation,JP,construction,epc_contractor,epc_lead,S1,2,0,0,2,0,0,600.0,65469316.3,0,45883274.941,0,liability
marubeni,Marubeni Corporation,JP,construction,epc_contractor,epc_lead,S2,2,0,0,2,0,0,600.0,65469316.3,0,45883274.941,0,liability
marubeni,Marubeni Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S1,65,59,0,1,62,2,28990.9,104003854.252,22470864.713,116423151.748,26538912.397,liability
marubeni,Marubeni Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S2,46,41,0,1,43,2,23849.9,176219780.833,41669255.179,173713494.823,41385699.288,liability
mhi,Mitsubishi Heavy Industries,JP,construction,epc_contractor,epc_consortium_member,S1,10,0,0,1,0,9,6344.0,-34702791.178,0,-28044972.247,0,contribution
mhi,Mitsubishi Heavy Industries,JP,construction,epc_contractor,epc_consortium_member,S2,9,0,0,1,0,8,5924.0,71146813.273,0,83859404.132,0,liability
mhi,Mitsubishi Heavy Industries,JP,construction,equipment_supplier,boiler_supply|steam_turbine_supply,S1,12,0,0,7,0,5,8403.0,66444192.893,0,24877111.633,0,liability
mhi,Mitsubishi Heavy Industries,JP,construction,equipment_supplier,boiler_supply,S2,7,0,0,3,0,4,4744.0,121056661.697,0,102194948.427,0,liability
mhi,Mitsubishi Heavy Industries,JP,investment,equity_owner,equity_direct|equity_parent,S1,3,3,0,0,3,0,1595.0,-5920959.504,-1233022.44,3075276.059,73175.229,contribution
mhi,Mitsubishi Heavy Industries,JP,investment,equity_owner,equity_direct|equity_parent,S2,3,3,0,0,3,0,1595.0,4033300.77,-543843.85,13029536.333,762353.817,liability
mhi,Mitsubishi Heavy Industries,JP,operation,om_contractor,operator_of_record,S1,2,0,0,0,2,0,200.0,-2265142.054,0,-924826.839,0,contribution
mhi,Mitsubishi Heavy Industries,JP,operation,om_contractor,operator_of_record,S2,2,0,0,0,2,0,200.0,-1938179.964,0,-597864.749,0,contribution
mitsubishi_corp,Mitsubishi Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S1,61,52,0,2,56,3,19136.8,148656803.593,32942177.169,164723477.998,53629831.563,liability
mitsubishi_corp,Mitsubishi Corporation,JP,investment,equity_owner,equity_direct|equity_parent,S2,53,45,0,2,48,3,14724.0,240528965.604,53623911.981,233613448.74,69342029.35,liability
mitsui,Mitsui & Co.,JP,development,developer,sponsor_award,S1,2,0,0,2,0,0,1386.0,61369305.456,0,52508267.746,0,liability
mitsui,Mitsui & Co.,JP,construction,epc_contractor,epc_consortium_member,S1,2,0,0,2,0,0,700.0,53599252.102,0,39754921.822,0,liability
mitsui,Mitsui & Co.,JP,investment,equity_owner,equity_direct|equity_parent,S1,89,82,0,4,85,0,33958.7,-180795170.473,-44105447.901,-88526933.258,-39688571.429,contribution
mitsui,Mitsui & Co.,JP,investment,equity_owner,equity_direct|equity_parent,S2,76,70,0,2,74,0,27594.1,204096503.611,38663173.187,240956046.796,33955802.317,liability
nexi,Nippon Export and Investment Insurance,JP,finance,eca_cover,insurance_cover,S1,13,0,0,2,0,11,9937.6,152177258.728,0,65811866.395,0,liability
nexi,Nippon Export and Investment Insurance,JP,finance,eca_cover,insurance_cover,S2,8,0,0,2,0,6,6224.0,235507114.341,0,156628847.381,0,liability
nexi,Nippon Export and Investment Insurance,JP,finance,lender,loan_unspecified,S1,3,0,0,0,0,3,2510.0,-102624759.278,0,-96730584.326,0,contribution
nexi,Nippon Export and Investment Insurance,JP,finance,lender,loan_unspecified,S2,2,0,0,0,0,2,1760.0,-66937409.842,0,-62123769.94,0,contribution
