gem_unit_id,plant_name,country,fuel_type,status,reason
G100001051535,Zarraf Solar PV farm,AE,solar,pre-construction,no start year or capacity in the tracker
G100000923767,Karaburun Eurus wind farm,AL,wind,cancelled - inferred 4 y,status cancelled - inferred 4 y: never built
G100000100964,Bluewaters power station,AU,coal,cancelled,status cancelled: never built
G100000100965,Bluewaters power station,AU,coal,cancelled,status cancelled: never built
G100001050905,Bridgeman solar farm,AU,solar,announced,no start year or capacity in the tracker
G100000806459,Cape York Solar,AU,solar,cancelled,status cancelled: never built
G100000806293,Kingfisher Solar Storage,AU,solar,cancelled - inferred 4 y,status cancelled - inferred 4 y: never built
G100001023266,Kumbarilla renewable energy park solar farm,AU,solar,cancelled,status cancelled: never built
G100000806460,Nowingi Solar,AU,solar,cancelled - inferred 4 y,status cancelled - inferred 4 y: never built
G100000806461,Riverland solar farm,AU,solar,cancelled - inferred 4 y,status cancelled - inferred 4 y: never built
G100001050976,Roy Hill Iron Ore Mine solar farm,AU,solar,cancelled - inferred 4 y,status cancelled - inferred 4 y: never built
G100000833175,Barapkuria solar farm,BD,solar,pre-construction,no start year or capacity in the tracker
G100000106579,Maheshkhali power station (KEPCO),BD,coal,cancelled,status cancelled: never built
G100000113487,Maheshkhali power station (KEPCO),BD,coal,cancelled,status cancelled: never built
G100000400851,Matarbari LNG power station,BD,gas,cancelled,status cancelled: never built
G100000400843,Matarbari Summit power station,BD,gas,cancelled - inferred 4 y,status cancelled - inferred 4 y: never built
G100000400844,Matarbari Summit power station,BD,gas,cancelled - inferred 4 y,status cancelled - inferred 4 y: never built
G100000400845,Matarbari Summit power station,BD,gas,cancelled - inferred 4 y,status cancelled - inferred 4 y: never built
G100000400846,Matarbari Summit power station,BD,gas,cancelled - inferred 4 y,status cancelled - inferred 4 y: never built
G100000113489,Pekua power station,BD,coal,cancelled,status cancelled: never built
G100000113490,Pekua power station,BD,coal,cancelled,status cancelled: never built
G100000115101,Pekua power station,BD,coal,cancelled,status cancelled: never built
G100000115102,Pekua power station,BD,coal,cancelled,status cancelled: never built
G100000409989,Manage Seneffe power station,BE,gas,cancelled,status cancelled: never built
G100000919639,Sliven wind farm,BG,wind,cancelled - inferred 4 y,status cancelled - inferred 4 y: never built
G100001021618,Pobè solar farm,BJ,solar,construction,no start year or capacity in the tracker
G100000406790,Litos power station,BR,gas,shelved - inferred 2 y,status shelved - inferred 2 y: never built
G100000406791,Litos power station,BR,gas,shelved - inferred 2 y,status shelved - inferred 2 y: never built
G100000406792,Litos power station,BR,gas,shelved - inferred 2 y,status shelved - inferred 2 y: never built
G100000406793,Litos power station,BR,gas,shelved - inferred 2 y,status shelved - inferred 2 y: never built
