gem_unit_id,gem_location_id,country,plant_name,unit_name,fuel_type,fuel_id,technology,status,capacity_mw,start_year,end_year,lifetime_years,lifetime_source,capacity_factor,cf_source,cf_low,cf_high,heat_rate_mj_per_kwh,heat_rate_source,ef_kgco2_per_tj,ef_basis,intensity_gco2_per_kwh,biogenic,biogenic_intensity_gco2_per_kwh,biogenic_lifetime_tco2,scenario,years_counted,years_dropped,e_prod_lifetime_tco2,e_ref_lifetime_tco2,ti_lifetime_tco2,ti_remaining_tco2,analysis_year,crossover_year,direction,layer1_tier,layer2_tier,tier,latitude,longitude,matched_companies,wiki_url
G100000811471,L100000809137,AE,Al Ajban PV solar farm,--,solar,,PV,construction,1500.0,2026,2050,25,default,0.2671,country_implied,0.2378,0.2767,,not_applicable,,not_applicable,0.0,no,0.0,0.0,S1,25,0,0.0,23284300.78,-23284300.78,-23284300.78,2026,,contribution,A,B,B,24.5696,55.2786,kowepo,https://www.gem.wiki/Al_Ajban_PV_solar_farm
G100000811471,L100000809137,AE,Al Ajban PV solar farm,--,solar,,PV,construction,1500.0,2026,2050,25,default,0.2671,country_implied,0.2378,0.2767,,not_applicable,,not_applicable,0.0,no,0.0,0.0,S2,25,0,0.0,23284300.78,-23284300.78,-23284300.78,2026,,contribution,A,B,B,24.5696,55.2786,kowepo,https://www.gem.wiki/Al_Ajban_PV_solar_farm
G100000405012,L100000405577,AE,Fujairah F2 Integrated Water and power plant,1,gas,natural_gas,combined cycle,operating,867.0,2011,2031,21,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,21,0,19402898.277,29125331.996,-9722433.719,-262638.378,2026,2030,contribution,A,C,C,25.301931,56.370353,marubeni,https://www.gem.wiki/Fujairah_F2_Integrated_Water_and_power_plant
G100000405012,L100000405577,AE,Fujairah F2 Integrated Water and power plant,1,gas,natural_gas,combined cycle,operating,867.0,2011,2031,21,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,21,0,19402898.277,29125331.996,-9722433.719,-262638.378,2026,2030,contribution,A,C,C,25.301931,56.370353,marubeni,https://www.gem.wiki/Fujairah_F2_Integrated_Water_and_power_plant
G100000405013,L100000405577,AE,Fujairah F2 Integrated Water and power plant,2,gas,natural_gas,combined cycle,operating,432.0,2011,2031,21,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,21,0,9667880.103,14512276.149,-4844396.039,-130864.798,2026,2030,contribution,A,C,C,25.301931,56.370353,marubeni,https://www.gem.wiki/Fujairah_F2_Integrated_Water_and_power_plant
G100000405013,L100000405577,AE,Fujairah F2 Integrated Water and power plant,2,gas,natural_gas,combined cycle,operating,432.0,2011,2031,21,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,21,0,9667880.103,14512276.149,-4844396.039,-130864.798,2026,2030,contribution,A,C,C,25.301931,56.370353,marubeni,https://www.gem.wiki/Fujairah_F2_Integrated_Water_and_power_plant
G100000405014,L100000405577,AE,Fujairah F2 Integrated Water and power plant,3,gas,natural_gas,combined cycle,operating,867.0,2011,2031,21,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,21,0,19402898.277,29125331.996,-9722433.719,-262638.378,2026,2030,contribution,A,C,C,25.301931,56.370353,marubeni,https://www.gem.wiki/Fujairah_F2_Integrated_Water_and_power_plant
G100000405014,L100000405577,AE,Fujairah F2 Integrated Water and power plant,3,gas,natural_gas,combined cycle,operating,867.0,2011,2031,21,retired_year,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,21,0,19402898.277,29125331.996,-9722433.719,-262638.378,2026,2030,contribution,A,C,C,25.301931,56.370353,marubeni,https://www.gem.wiki/Fujairah_F2_Integrated_Water_and_power_plant
G100000405015,L100000405578,AE,Fujairah F3 Integrated Water and power plant,1,gas,natural_gas,combined cycle,operating,2400.0,2025,2054,30,default,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,30,0,76729207.23,53045820.784,23683386.434,24241865.151,2026,2030,liability,A,C,C,25.301931,56.370353,marubeni,https://www.gem.wiki/Fujairah_F3_Integrated_Water_and_power_plant
G100000405015,L100000405578,AE,Fujairah F3 Integrated Water and power plant,1,gas,natural_gas,combined cycle,operating,2400.0,2025,2054,30,default,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,30,0,76729207.23,53045820.784,23683386.434,24241865.151,2026,2030,liability,A,C,C,25.301931,56.370353,marubeni,https://www.gem.wiki/Fujairah_F3_Integrated_Water_and_power_plant
G100000405045,L100000405579,AE,Hamriyah IPP power station,1,gas,natural_gas,combined cycle,operating,600.0,2021,2050,30,default,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S1,30,0,19182301.8,16014423.717,3167878.087,4432890.816,2026,2030,liability,A,C,C,25.459488,55.478473,sumitomo_corp;shikoku,https://www.gem.wiki/Hamriyah_IPP_power_station
G100000405045,L100000405579,AE,Hamriyah IPP power station,1,gas,natural_gas,combined cycle,operating,600.0,2021,2050,30,default,0.3313,country_implied,0.3242,0.3969,6.5455,default,56100.0,ipcc_default,367.2,no,0.0,0.0,S2,30,0,19182301.8,16014423.717,3167878.087,4432890.816,2026,2030,liability,A,C,C,25.459488,55.478473,sumitomo_corp;shikoku,https://www.gem.wiki/Hamriyah_IPP_power_station
