gem_unit_id,scenario,t,calendar_year,generation_gwh,grid_gco2_per_kwh,grid_basis,e_prod_tco2,e_ref_tco2,ti_tco2,cumulative_ti_tco2
G100000811471,S1,0,2026,3509.694,428.118,pathway,0.0,1502563.176,-1502563.176,-1502563.176
G100000811471,S1,1,2027,3509.694,409.685,pathway,0.0,1437868.284,-1437868.284,-2940431.46
G100000811471,S1,2,2028,3509.694,392.045,pathway,0.0,1375958.686,-1375958.686,-4316390.147
G100000811471,S1,3,2029,3509.694,375.165,pathway,0.0,1316714.7,-1316714.7,-5633104.847
G100000811471,S1,4,2030,3509.694,359.012,pathway,0.0,1260021.911,-1260021.911,-6893126.758
G100000811471,S1,5,2031,3509.694,343.554,pathway,0.0,1205769.763,-1205769.763,-8098896.522
G100000811471,S1,6,2032,3509.694,328.762,pathway,0.0,1153853.668,-1153853.668,-9252750.19
G100000811471,S1,7,2033,3509.694,314.606,pathway,0.0,1104172.545,-1104172.545,-10356922.735
G100000811471,S1,8,2034,3509.694,301.061,pathway,0.0,1056630.932,-1056630.932,-11413553.667
G100000811471,S1,9,2035,3509.694,288.098,pathway,0.0,1011136.173,-1011136.173,-12424689.84
G100000811471,S1,10,2036,3509.694,275.694,pathway,0.0,967600.174,-967600.174,-13392290.014
G100000811471,S1,11,2037,3509.694,263.823,pathway,0.0,925938.702,-925938.702,-14318228.716
G100000811471,S1,12,2038,3509.694,252.464,pathway,0.0,886071.035,-886071.035,-15204299.751
G100000811471,S1,13,2039,3509.694,241.594,pathway,0.0,847919.959,-847919.959,-16052219.711
G100000811471,S1,14,2040,3509.694,231.191,pathway,0.0,811411.42,-811411.42,-16863631.131
G100000811471,S1,15,2041,3509.694,221.237,pathway,0.0,776475.224,-776475.224,-17640106.355
G100000811471,S1,16,2042,3509.694,211.712,pathway,0.0,743042.932,-743042.932,-18383149.288
G100000811471,S1,17,2043,3509.694,202.596,pathway,0.0,711049.966,-711049.966,-19094199.253
G100000811471,S1,18,2044,3509.694,193.873,pathway,0.0,680434.554,-680434.554,-19774633.807
G100000811471,S1,19,2045,3509.694,185.525,pathway,0.0,651137.734,-651137.734,-20425771.541
G100000811471,S1,20,2046,3509.694,177.537,pathway,0.0,623101.948,-623101.948,-21048873.489
G100000811471,S1,21,2047,3509.694,169.893,pathway,0.0,596273.496,-596273.496,-21645146.985
G100000811471,S1,22,2048,3509.694,162.578,pathway,0.0,570600.084,-570600.084,-22215747.069
G100000811471,S1,23,2049,3509.694,155.578,pathway,0.0,546031.875,-546031.875,-22761778.944
