country,scenario,rate,value,target_level,base_year,target_year,derivation,source_id
AU,S1,r_fleet,0.008953553,observed_trend,2015,2024,"Log-linear trend of observed passenger-car CO2 (ANGA inventory), 2015-2024 excluding 2020-2021.",anga_odata_paris_inventory
AU,S1,r_power,0.034160334,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
AU,S2,r_fleet,0.091131765,ndc_prorata,2024,2030,"Australia NDC 43% below 2005 by 2030, applied pro-rata to this sector: 42,007 kt (2024) -> 23,677 kt, compound annual decline. Anchor verified: no.",unfccc_ndc_registry;anga_odata_paris_inventory
AU,S2,r_power,0.049098622,ndc_prorata,2024,2030,"Australia NDC 43% below 2005 by 2030, applied pro-rata to this sector: 150,862 kt (2024) -> 111,530 kt, compound annual decline. Anchor verified: no.",unfccc_ndc_registry;anga_odata_paris_inventory
AU,S3,r_fleet,0.100334988,world_prorata,2023,2040,"IEA WEO 2024 NZE world passenger cars CO2 3,168 -> 525 Mt (2023-2040), compound annual decline applied pro-rata; no Australia-specific NZE path in the report on hand.",iea_weo_2024
AU,S3,r_power,0.194761201,world_prorata,2023,2040,"IEA WEO 2024 NZE world electricity heat CO2 15,262 -> 384 Mt (2023-2040), compound annual decline applied pro-rata; no Australia-specific NZE path in the report on hand.",iea_weo_2024
