country,scenario,rate,value,target_level,base_year,target_year,derivation,source_id
AT,S1,r_fleet,0.026658229,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
AT,S1,r_power,0.048804873,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
AT,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
AT,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
AT,S2,r_power,0.0,ndc_prorata,2024,2030,"EU public electricity and heat CO2 from its latest observation to 45% of 1990 by 2030 (economy-wide 2030 target applied pro-rata), compound annual decline. PATHWAY_ALREADY_MET: EU public electricity CO2 in 2024 (513 Mt) is below the pro-rata 2030 level (552 Mt); implied rate -0.0121/yr, held at zero rather than allowed to rise.",eu_climate_law_2021_1119;eurostat_env_air_gge_crf1a1a
AT,S3,r_power,0.085599875,1p5c_prorata,2024,2040,"EU public electricity and heat CO2 from its latest observation to 10% of 1990 by 2040, compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a
BE,S1,r_fleet,0.028496065,observed_trend,2015,2024,"Log-linear trend of observed CO2 per registered car (inventory CRF 1.A.3.b.i / car stock), 2015-2024 excluding 2020-2021.",eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda
BE,S1,r_power,0.043622042,observed_trend,2015,2024,"Log-linear trend of observed grid carbon intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
BE,S2,r_fleet,0.043443692,ndc_prorata,2023,2030,"EU domestic transport pathway 2023 -> 2030, compound annual decline, applied pro-rata to every member state's car fleet.",ec_2040_impact_assessment_transport
BE,S3,r_fleet,0.135101686,1p5c_prorata,2023,2040,"EU transport 2023 level to 10% of its 1990 level by 2040 (economy-wide 2040 target applied pro-rata to transport), compound annual decline.",ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3
