국가,제작업체,판매년도,선택기준,판매규모,적용기준차종,판매량확인,진행상태,실적확인상태,기준(비율별)_온실가스,기준(비율별)_에너지소비효율,기준(연차별)_온실가스,기준(연차별)_에너지소비효율,실적(100)_온실가스,실적(100)_에너지소비효율,실적(비율)_온실가스,실적(비율)_에너지소비효율,판매량(대)_비율 판매량,판매량(대)_전체 판매량,평균 공차중량,평균 점유면적,경유차 비율_경유차,경유차 비율_경유차비율,초과달성분(비율별)_온실가스,초과달성분(비율별)_에너지소비효율,초과달성분(연차별)_온실가스,초과달성분(연차별)_에너지소비효율,전기차 향상분_판매대수,전기차 향상분_판매대수 비율
한국,현대자동차(주),2012,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,142.724,16.765,0,0,130.459,18.806,122.196,19.839,151158,503860,1469.52,4.35,134746,26.743,3102864.96,3826925.05,0,0,1,1
한국,기아자동차(주),2012,"온실가스, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,133.402,17.793,0,0,121.683,19.433,109.554,21.375,120486,401619,1310.99,4.092,92145,22.943,2873349.59,3554145.27,0,0,1.008,1.014
한국,한국지엠주식회사,2012,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,128.672,18.429,0,0,130.111,18.362,111.639,20.839,40626,135419,1230.55,3.776,22126,16.339,691979.09,806501.23,0,0,1,1
한국,르노삼성자동차(주),2012,"온실가스, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,141.087,17.12,0,0,138.98,16.863,126.016,18.603,17978,59925,1441.69,4.279,4595,7.668,270960.2,219489.66,0,0,1.001,1.003
한국,쌍용자동차㈜,2012,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,159.822,14.598,0,0,176.949,14.712,155.901,17.238,7908,26358,1760.32,4.29,21911,83.128,31010.16,171929.6,0,0,1,1
독일,아우디폭스바겐코리아(주),2012,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,159.667,14.416,0,0,137.374,19.182,113.737,23.627,10103,33676,1757.67,0,26125,77.578,464033.82,766427.3,0,0,1,1
독일,BMW코리아(주),2012,"온실가스, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,148.78,15.929,0,0,131.571,19.507,108.06,24.863,9254,30845,1572.52,8.533,22287,72.255,376819.41,680867.46,0,0,1,1
독일,메르세데스-벤츠코리아(주),2012,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,161.657,14.292,0,0,168.986,14.438,136.484,19.528,6117,20387,1791.52,4.548,6734,33.031,153985.57,263766.66,0,0,1,1
일본,한국토요타자동차(주),2012,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,150.171,15.788,0,0,129.435,18.092,85.479,27.385,4731,15768,1596.17,4.399,0,0,306056.58,451855.57,0,0,1,1
미국,포드세일즈서비스코리아(유),2012,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),미확인,마감,확인,191.863,11.034,0,0,197.171,11.869,157.37,14.863,1538,5126,1861.83,4.568,0,0,53050.94,48495.58,0,0,1,1
미국,에프씨에이코리아 주식회사,2012,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),미확인,마감,미확인,201.087,9.999,0,0,190.958,13.343,161.208,16.616,1236,4120,2021.98,0,2578,62.573,49290.22,67348.32,0,0,1,1
일본,혼다코리아(주),2012,"에너지소비효율, 판매비율",일반,승용·승합(10인승이하),미확인,마감,확인,146.624,16.371,0,0,128.249,18.264,128.249,18.264,1184,3944,1535.85,0,0,0,21535.38,18274.45,0,0,1,1
일본,한국닛산(주),2012,"온실가스, 판매비율",일반,승용·승합(10인승이하),미확인,마감,미확인,144.444,16.512,0,0,161.854,14.576,141.127,16.587,1051,3501,1498.78,4.133,167,4.77,3485.9,652.435,0,0,1,1
영국,(주)재규어랜드로버코리아,2012,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),미확인,마감,확인,209.875,8.627,0,0,187.191,13.995,157.428,17.074,934,3113,2174.55,4.587,2689,86.38,48985.17,64967.07,0,0,1,1
프랑스,한불모터스(주),2012,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),미확인,마감,미확인,165.669,14.118,0,0,110.892,24.008,100.741,26.605,742,2473,1407.03,4.1,2363,95.552,48176.21,76304.45,0,0,1,1
스웨덴,㈜볼보자동차코리아,2012,"에너지소비효율, 판매비율",소규모,승용·승합(10인승이하),미확인,마감,확인,185.105,11.898,0,0,155.063,17.137,139.195,19.307,531,1768,1744.5,4.429,1591,89.989,24378.52,32398.1,0,0,1,1
