key,file,source_url,content_type,bytes,sha256,access,fetched,fetched_with,note
sbti_sectoral_decarbonization,sbti_sectoral_decarbonization.pdf,https://files.sciencebasedtargets.org/production/files/Sectoral-Decarbonization-Approach-Report.pdf,application/pdf,1238602,32d86b854d76b1931d32b463a413a1fc7e6aabaa9cacd16ec6da3a731eb73518,free,2026-09-11,urllib,
seto_carbon_lock_in,seto_carbon_lock_in.pdf,https://sciencepolicy.colorado.edu/students/envs-geog_3022/seto_2016.pdf,application/pdf,613154,fc91ea053e5e191e0e1cf2cbc0c20e7837eabb860f557868d9c86b642e5fb72d,paywalled,2026-09-11,urllib,
sfoc_coal_insurers,sfoc_coal_insurers.pdf,https://content.forourclimate.org/files/research/o9dkFUe.pdf,application/pdf,864358,0a15f25034a6a39ab05622711dbd569f174401cce3fe22ec68e2ac2ce8fbb46a,free,2026-09-11,urllib,
steininger_consumption_based,,https://www.tandfonline.com/doi/pdf/10.1080/14693062.2020.1728208?needAccess=true,,,,paywalled,2026-09-11,,not_saved: the publisher refuses automated requests; open it in a browser from the URL
te_ev_progress_2026,te_ev_progress_2026.html,https://www.transportenvironment.org/articles/ev-progress-report-2026,text/html; charset=UTF-8,502566,c3492a91e77952797a7b8dda136905f14472087f99e5d78e9775d901622448d0,free,2026-09-11,urllib,
te_phev_gap_2025,te_phev_gap_2025.pdf,https://uploads.transportenvironment.org/production/files/2025_09_TE_briefing_PHEV_gap_growing.pdf,application/pdf,415918,14bc926bdaee5b8f795d8deece1517f4601c2c4ceb7dd179a3f01a2f7feabd49,free,2026-09-11,urllib,
tong_committed_emissions,tong_committed_emissions.pdf,https://escholarship.org/content/qt20m965f3/qt20m965f3.pdf,application/pdf,3399848,ba9cb5afc67e2a7ca2b4229edf5cfa96a846388844e0b8ec696c639cfb074beb,paywalled,2026-09-11,urllib,
tpi_automotive_carbon_performance,tpi_automotive_carbon_performance.pdf,https://www.transitionpathwayinitiative.org/publications/uploads/2023-carbon-performance-assessment-of-the-automobile-manufacturers-note-on-methodology-2023,application/pdf,1162578,7e362882428bee0ebe039710124ce6c6075b48796a9f6383ec818684430e7f2d,free,2026-09-11,urllib,
unep_used_vehicles_2020,unep_used_vehicles_2020.html,https://www.unep.org/resources/report/global-trade-used-vehicles-report,text/html; charset=UTF-8,150978,8003cbde29f7c1f9ded9831ee8d4d5807b5865807fdb00aebb90db8ca13dac7e,free,2026-09-11,urllib,
unep_used_vehicles_2024,unep_used_vehicles_2024.html,https://www.unep.org/resources/report/used-vehicles-and-environment-global-overview-used-light-duty-vehicles-flow-scale,text/html; charset=UTF-8,147362,b7f21bc0bdcf0252d77955c0384f77dafd6e5dbdb23835d340cfffe5cc83914e,free,2026-09-11,urllib,
unfccc_ndc_registry,,https://unfccc.int/NDCREG,text/html,946,,free,2026-09-11,urllib,not_saved: a live database or search application rather than a document
wang_grounded_emissions_consequences,,,,,,free,2026-09-11,,not_saved: no open copy is published; the row carries the DOI and the publisher's terms
wba_automotive_benchmark,wba_automotive_benchmark.html,https://www.worldbenchmarkingalliance.org/research/2024-automotive-and-transportation-manufacturers-benchmark/,text/html; charset=UTF-8,101293,dd7304e556ff4c5e70a97f7b33fa2b9d546d58b309624632a23713b7df40f142,free,2026-09-11,urllib,
wbcsd_avoided_emissions_v2,,https://www.wbcsd.org/resources/guidance-on-avoided-emissions-helping-business-drive-innovations-and-scale-solutions-toward-net-zero/,text/html; charset=UTF-8,133717,,registration,2026-09-11,urllib,"not_saved: behind a registration or login gate; free to read, but the file is not served"
wri_comparative_emissions_impacts,wri_comparative_emissions_impacts.pdf,https://files.wri.org/d8/s3fs-public/estimating-and-reporting-comparative-emissions-impacts-products.pdf,application/pdf,623906,1cce75fb5a939294c55c4a00c9f055d34f073ecf53bb0bfdf2ff5297b86636ca,free,2026-09-11,urllib,
young_ferris_scope4_claims,,https://figshare.com/articles/journal_contribution/Making_things_that_don_t_exist_count_a_study_of_Scope_4_emissions_accounting_claims/25632765,text/html; charset=UTF-8,0,,paywalled,2026-09-11,urllib,not_saved: the URL served a redirect shell rather than the document
