country,scenario,reason
AE,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
AL,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
AO,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
AR,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
AU,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
BD,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
BE,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
BG,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
BH,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
BJ,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
BN,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
BR,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
CA,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
CL,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
CN,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
DK,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
DZ,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
EG,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
ES,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
FI,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
FR,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
GB,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
GH,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
GR,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
GU,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
ID,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
IN,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
IT,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
JM,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
JO,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
JP,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
KR,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
LA,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
MA,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
ME,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
MG,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
MK,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
MM,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
MN,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
MX,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
MY,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
MZ,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
NG,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
NL,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
NO,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
NP,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
NZ,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
OM,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
PH,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
PK,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
PL,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
PR,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
PT,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
QA,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
RS,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
RU,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
SA,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
SN,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
SZ,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
TH,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
TL,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
TR,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
TT,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
TW,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
TZ,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
UA,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
US,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
UZ,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
VN,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
ZA,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
ZM,S2,no committed anchor on file (hand file targets/raw/ndc_anchors_power.csv)
