country,iso3,anchor_id,scope,target_type,base_year,base_value,base_unit,target_year,target_value,reduction,reduction_upper,conditional,communicated,document,source_url,source_id,verified,parse_status,target_text,origin,note
MA,MAR,ma_third_ndc,economy,bau_reduction,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/MAR,climatewatch_ndc_content,no,not_usable,"Morocco commits to reducing its emissions by 21.6% by 2035 compared to BAU (unconditional). Morocco also commits to reducing its emissions by an additional 31.4% (53% reduction in total) by 2035 compared to BAU, conditional on international support.",climatewatch,Climate Watch type: Baseline scenario target; target year field: 2035
ME,MNE,me_third_ndc,economy,reduction_from_base,1990,,,2035,,0.6,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/MNE,climatewatch_ndc_content,no,parsed,"Montenegro commits to reduce its emissions by at least 55% by 2030 and 60% by 2035, compared to 1990 levels.",climatewatch,Climate Watch type: Base year target; target year field: 2030 and 2035
MG,MDG,mg_second_ndc,economy,bau_reduction,,,,,,,,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/MDG,climatewatch_ndc_content,no,not_usable,"Madagascar commits to reducing its emissions by 48.4 MtCO2e by 2030, a 28% decrease from BAU. It also commits to strengthen GHG sinks by around 20%, which is -37,809 Gg eq. CO2 from additional sequestration.",climatewatch,Climate Watch type: Baseline scenario target; target year field: 2030
MK,MKD,mk_revised_first_ndc,economy,reduction_from_base,1990,,,2030,,0.51,,no,revised_first_ndc,revised_first_ndc,https://www.climatewatchdata.org/ndcs/country/MKD,climatewatch_ndc_content,no,parsed,"""In 2030, 51% reduction in greenhouse gas emissions compared to 1990 levels. Expressed in net emissions, in 2030, 82% reduction compared to 1990 levels.""",climatewatch,Climate Watch type: Base year target; target year field: 2030
MM,MMR,mm_revised_first_ndc,economy,bau_reduction,,,,,,,,no,revised_first_ndc,revised_first_ndc,https://www.climatewatchdata.org/ndcs/country/MMR,climatewatch_ndc_content,no,not_usable,Myanmar commits to reduce its emissions by 244.52 million tCO2e (unconditional) and by 414.75 million tCO2e (conditional) by 2030 compared to BAU.,climatewatch,Climate Watch type: Baseline scenario target; target year field: 2030
MN,MNG,mn_third_ndc,economy,bau_reduction,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/MNG,climatewatch_ndc_content,no,not_usable,"Mongolia commits to reducing its emissions by 30.3% by 2035 compared to BAU (unconditional), and by 52.8% by 2035 compared to BAU (conditional).",climatewatch,Climate Watch type: Baseline scenario target; target year field: 2035
MX,MEX,mx_third_ndc,economy,fixed_level,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/MEX,climatewatch_ndc_content,no,needs_review,"Mexico commits to absolute emissions in the range of 404 to 364 Mt CO2e in 2035. Conditionally, Mexico can increase its target to a range of 363 to 332 Mt CO2e in 2035.",climatewatch,Climate Watch type: Fixed level target; target year field: 2035
MY,MYS,my_third_ndc,economy,fixed_level,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/MYS,climatewatch_ndc_content,no,needs_review,Malaysia commits to an absolute reduction of 15-30 million tonnes of CO₂ equivalent (MtCO₂eq) by 2035 from the peak level.,climatewatch,Climate Watch type: Fixed level target; target year field: 2035
MZ,MOZ,mz_third_ndc,economy,bau_reduction,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/MOZ,climatewatch_ndc_content,no,not_usable,Mozambique's target is under development but an emissions reduction target of between 15% and 25% of baseline is envisaged.,climatewatch,Climate Watch type: Baseline scenario target; target year field: 2035
NG,NGA,ng_third_ndc,economy,reduction_from_base,2018,,,2035,,0.322,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/NGA,climatewatch_ndc_content,no,parsed,Nigeria commits to reducing its emissions by 32.2% by 2035 relative to 2018 levels.,climatewatch,Climate Watch type: Base year target; target year field: 2030 and 2035
NL,,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,,no,2024-02-06,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,hand,,hand,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
NO,NOR,no_second_ndc,economy,reduction_from_base,1990,,,2035,,0.7,0.75,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/NOR,climatewatch_ndc_content,no,parsed,Norway commits to reducing its emissions by at least 70-75% by 2035 compared to 1990 levels.,climatewatch,Climate Watch type: Base year target; target year field: 2035
NP,NPL,np_third_ndc,economy,bau_reduction,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/NPL,climatewatch_ndc_content,no,not_usable,"Nepal commits to reduce its net emissions by 17.1% in 2030 and by 26.8% in 2035 compared to BAU, 96% of which is conditional for 2030 and 97% of which is conditional for 2035.",climatewatch,Climate Watch type: Baseline scenario target; target year field: 2030 and 2035
NZ,NZL,nz_second_ndc,economy,reduction_from_base,2005,,,2035,,0.51,0.55,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/NZL,climatewatch_ndc_content,no,parsed,"New Zealand commits to ""reduce net greenhouse gas emissions to 51-55 % below gross 2005 levels by 2035.""",climatewatch,Climate Watch type: Base year target; target year field: 2035
OM,OMN,om_third_ndc,economy,reduction_from_base,2024,,,2035,,0.07,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/OMN,climatewatch_ndc_content,no,parsed,"Oman commits to an absolute reduction of 33% in national total GHG emissions by 2035 relative to a 2024 base year of 93.6 MtCO2e - 7% unconditional and 26% conditional on international finance, technology transfer and capacity-building support. Equivalent absolute reductions are 6.552 MtCO2e (uncond",climatewatch,Climate Watch type: Base year target; target year field: 2035
PH,PHL,ph_first_ndc,economy,other,,,,,,,,no,first_ndc,first_ndc,https://www.climatewatchdata.org/ndcs/country/PHL,climatewatch_ndc_content,no,needs_review,"75% reduction in GHG emissions compared to the BAU scenario of 2020-2030, of which 2.71% is unconditional and 72.29% is conditional",climatewatch,Climate Watch type: Multiple target types; target year field: 2020-2030
PK,PAK,pk_third_ndc,economy,bau_reduction,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/PAK,climatewatch_ndc_content,no,not_usable,Pakistan aims to reduce of its 2035 projected GHG emissions by 50 % (17% unconditional and 33% conditional),climatewatch,Climate Watch type: Baseline scenario target; target year field: 2035
PL,,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,,no,2024-02-06,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,hand,,hand,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
PR,,pr_us_second_ndc,economy,reduction_from_base,2005,,,2035,,0.61,,no,2024-12-19,,https://www.climatewatchdata.org/ndcs/country/USA,climatewatch_ndc_content,no,hand,,hand,"Puerto Rico is a US territory covered by the United States NDC (61-66% below 2005 by 2035, communicated 2024-12-19; withdrawal from the Paris Agreement notified 2025-01-27)"
PT,,eu_2040_economy,economy,reduction_from_base,1990,,,2040,,0.90,,no,2024-02-06,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52024DC0063,ec_2040_com_2024_63,no,hand,,hand,EU member state: the EU-wide 2040 target (90% below 1990) is the furthest stated pathway and the same anchor the automotive sector uses; the EU NDC 3.0 (66.25-72.5% by 2035) is the nearer waypoint
QA,QAT,qa_third_ndc,economy,reduction_from_base,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/QAT,climatewatch_ndc_content,no,needs_review,Qatar commits to reducing its emissions by 42 MMtCO2e by 2040 compared to 2019 levels.,climatewatch,Climate Watch type: Base year target; target year field: 2040
RS,SRB,rs_third_ndc,economy,reduction_from_base,1990,,,2035,,0.401,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/SRB,climatewatch_ndc_content,no,parsed,Serbia commits to reducing its emissions by 40.1% by 2035 compared to 1990 levels.,climatewatch,Climate Watch type: Base year target; target year field: 2035
RU,RUS,ru_second_ndc,economy,reduction_from_base,1990,,,2035,,0.65,0.67,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/RUS,climatewatch_ndc_content,no,parsed,Russia commits to reducing its GHG emissions by 65-67 % compared to 1990 levels by 2035.,climatewatch,Climate Watch type: Base year target; target year field: 2035
SA,SAU,sa_second_ndc,economy,reduction_from_base,,,,,,,,no,second_ndc,second_ndc,https://www.climatewatchdata.org/ndcs/country/SAU,climatewatch_ndc_content,no,needs_review,Saudi Arabia commits to reduce emissions by 335 mtCO2e by 2040 relative to 2019 levels.,climatewatch,Climate Watch type: Base year target; target year field: 2040
SN,SEN,sn_first_ndc,economy,bau_reduction,,,,,,,,no,first_ndc,first_ndc,https://www.climatewatchdata.org/ndcs/country/SEN,climatewatch_ndc_content,no,not_usable,"5% (unconditional) to 23.7% (conditional) reduction in 2025, and 7% (unconditional) to 29.5% (conditional) reduction in 2030 in GHG emissions compared to baseline projections",climatewatch,Climate Watch type: Baseline scenario target; target year field: 2025 and 2030
SZ,SWZ,sz_third_ndc,economy,bau_reduction,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/SWZ,climatewatch_ndc_content,no,not_usable,"Eswatini commits to reduce emissions (GHG) by 2.24 MtCO₂eq in 2035 (31% unconditional, 69% conditional) compared to BAU.",climatewatch,Climate Watch type: Baseline scenario target; target year field: 2035
TH,THA,th_third_ndc,economy,reduction_from_base,2019,,,2035,,0.47,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/THA,climatewatch_ndc_content,no,parsed,"Thailand commits to reducing its net GHG emissions to 152 million tCO2eq in 2035 compared to 2019 levels, which is equaivalent to a 47 % reduction.",climatewatch,Climate Watch type: Base year target; Trajectory target; target year field: 2035
TL,TLS,tl_third_ndc,economy,none,,,,,,,,no,third_ndc,third_ndc,https://www.climatewatchdata.org/ndcs/country/TLS,climatewatch_ndc_content,no,no_ndc_target_on_file,Not Applicable,climatewatch,Climate Watch type: Not Applicable; target year field: 2035
