country,scenario,rate,value,target_level,base_year,target_year,derivation,source_id
AE,S1,r_power,0.043056459,observed_trend,2015,2024,"Log-linear trend of observed grid intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
AE,S2,r_power,0.043056459,economy_prorata_s1_floor,2019,2035,"ae_third_ndc (reduction_from_base, economy, third_ndc): target level g(2019) x (1 - 0.47) = 349.8 gCO2/kWh at 2035, compound decline from 467.5 at 2024. S1_STEEPER: pro-rata rate 0.0260/yr is below the observed trend 0.0431/yr; S2 floored at S1.",climatewatch_ndc_content
AL,S1,r_power,-0.006470462,observed_trend,2015,2024,"Log-linear trend of observed grid intensity, 2015-2024 excluding 2020-2021. OBSERVED_INCREASE: series rising (-0.0065/yr).",owid_ember_grid_intensity
AO,S1,r_power,0.04774892,observed_trend,2015,2024,"Log-linear trend of observed grid intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
AO,S2,r_power,0.04774892,economy_prorata_s1_floor,2020,2035,"ao_third_ndc (reduction_from_base, economy, third_ndc): target level g(2020) x (1 - 0.11) = 152.5 gCO2/kWh at 2035, compound decline from 185.4 at 2024. S1_STEEPER: pro-rata rate 0.0176/yr is below the observed trend 0.0477/yr; S2 floored at S1.",climatewatch_ndc_content
AR,S1,r_power,0.024037194,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021.",owid_ember_grid_intensity
AU,S1,r_power,0.034560879,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021.",owid_ember_grid_intensity
AU,S2,r_power,0.054178697,economy_prorata,2005,2035,"au_second_ndc (reduction_from_base, economy, second_ndc): target level g(2005) x (1 - 0.62) = 300.9 gCO2/kWh at 2035, compound decline from 525.2 at 2025.",climatewatch_ndc_content
BD,S1,r_power,-0.003191412,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021. OBSERVED_INCREASE: series rising (-0.0032/yr).",owid_ember_grid_intensity
BE,S1,r_power,0.034336137,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021.",owid_ember_grid_intensity
BE,S2,r_power,0.099126017,economy_prorata,1990,2040,"eu_2040_economy (reduction_from_base, economy, 2024-02-06): target level g(1990) x (1 - 0.9) = 31.3 gCO2/kWh at 2040, compound decline from 149.8 at 2025.",ec_2040_com_2024_63
BG,S1,r_power,0.054974316,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021.",owid_ember_grid_intensity
BG,S2,r_power,0.100918485,economy_prorata,1990,2040,"eu_2040_economy (reduction_from_base, economy, 2024-02-06): target level g(1990) x (1 - 0.9) = 55.9 gCO2/kWh at 2040, compound decline from 275.6 at 2025.",ec_2040_com_2024_63
BH,S1,r_power,0.000309906,observed_trend,2015,2024,"Log-linear trend of observed grid intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
BJ,S1,r_power,0.01107255,observed_trend,2015,2024,"Log-linear trend of observed grid intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
BN,S1,r_power,0.001373211,observed_trend,2015,2024,"Log-linear trend of observed grid intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
BR,S1,r_power,0.055172008,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021.",owid_ember_grid_intensity
BR,S2,r_power,0.094946817,economy_prorata,2005,2035,"br_second_ndc (reduction_from_base, economy, second_ndc): target level g(2005) x (1 - 0.59) = 40.5 gCO2/kWh at 2035, compound decline from 110.0 at 2025.",climatewatch_ndc_content
CA,S1,r_power,-0.002021114,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021. OBSERVED_INCREASE: series rising (-0.0020/yr).",owid_ember_grid_intensity
CA,S2,r_power,0.042327918,economy_prorata,2005,2035,"ca_second_ndc (reduction_from_base, economy, second_ndc): target level g(2005) x (1 - 0.45) = 123.8 gCO2/kWh at 2035, compound decline from 190.7 at 2025.",climatewatch_ndc_content
CL,S1,r_power,0.064576842,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021.",owid_ember_grid_intensity
CN,S1,r_power,0.021128822,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021.",owid_ember_grid_intensity
DK,S1,r_power,0.101463696,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021.",owid_ember_grid_intensity
DK,S2,r_power,0.101463696,economy_prorata_s1_floor,1990,2040,"eu_2040_economy (reduction_from_base, economy, 2024-02-06): target level g(1990) x (1 - 0.9) = 89.0 gCO2/kWh at 2040, compound decline from 114.4 at 2025. S1_STEEPER: pro-rata rate 0.0166/yr is below the observed trend 0.1015/yr; S2 floored at S1.",ec_2040_com_2024_63
DZ,S1,r_power,0.000558325,observed_trend,2015,2024,"Log-linear trend of observed grid intensity, 2015-2024 excluding 2020-2021.",owid_ember_grid_intensity
EG,S1,r_power,0.005285855,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021.",owid_ember_grid_intensity
ES,S1,r_power,0.080030901,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021.",owid_ember_grid_intensity
ES,S2,r_power,0.08035421,economy_prorata,1990,2040,"eu_2040_economy (reduction_from_base, economy, 2024-02-06): target level g(1990) x (1 - 0.9) = 43.7 gCO2/kWh at 2040, compound decline from 153.6 at 2025.",ec_2040_com_2024_63
FI,S1,r_power,0.118473099,observed_trend,2015,2025,"Log-linear trend of observed grid intensity, 2015-2025 excluding 2020-2021.",owid_ember_grid_intensity
FI,S2,r_power,0.118473099,economy_prorata_s1_floor,1990,2040,"eu_2040_economy (reduction_from_base, economy, 2024-02-06): target level g(1990) x (1 - 0.9) = 28.2 gCO2/kWh at 2040, compound decline from 57.5 at 2025. S1_STEEPER: pro-rata rate 0.0464/yr is below the observed trend 0.1185/yr; S2 floored at S1.",ec_2040_com_2024_63
