target_id,geography,scope,base_year,base_value,target_year,target_value,unit,reduction_vs_base,source_id,document,page_or_table,note
jp_2035_economy,JP,economy_wide_ghg_net,2013,1407,2035,570,MtCO2e,0.60,jp_ndc_2035_2040,Japan's Nationally Determined Contribution (2025-02-18),"Section 1(b), quantifiable information on the reference point","fiscal years; ""Japan aims to reduce its greenhouse gas emissions by 60 percent in fiscal year (FY) 2035 and by 73 percent in FY 2040, respectively, from its FY 2013 levels""; FY2013 total 1,407 MtCO2 from the FY2022 inventory; recorded, not used for a rate because 2040 is the further anchor"
jp_2040_economy,JP,economy_wide_ghg_net,2013,1407,2040,380,MtCO2e,0.73,jp_ndc_2035_2040,Japan's Nationally Determined Contribution (2025-02-18),"Section 1(b), quantifiable information on the reference point","fiscal years; the GX 2040 Vision and the 地球温暖化対策計画 of the same cabinet decision (2025-02-18) carry the same target; ""on a straight pathway towards the achievement of net zero by 2050""; this is the anchor S2 uses"
jp_2050_net_zero,JP,economy_wide_ghg_net,2013,1407,2050,0,MtCO2e,1.00,jp_ndc_2035_2040,Japan's Nationally Determined Contribution (2025-02-18),footnote 1,"declared October 2020; a compound decline cannot reach zero, so the 2040 anchor carries the pathway and this row is recorded only"
