scenario,sector,year,value_mtco2,source_id,document,table,pdf_page_index,extraction
STEPS,electricity_heat,2010,12513,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,electricity_heat,2022,14943,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,electricity_heat,2023,15262,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,electricity_heat,2030,13311,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,electricity_heat,2035,10968,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,electricity_heat,2040,9469,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,electricity_heat,2050,7757,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,transport,2023,8213,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,transport,2030,8537,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,transport,2040,7840,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,transport,2050,7557,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,passenger_cars,2010,2658,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,passenger_cars,2022,3083,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,passenger_cars,2023,3168,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,passenger_cars,2030,3011,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,passenger_cars,2035,2668,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,passenger_cars,2040,2376,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
STEPS,passenger_cars,2050,2137,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4a,299,pypdf text extraction 2026-09-04
APS,electricity_heat,2023,15262,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4b,305,pypdf text extraction 2026-09-04
APS,electricity_heat,2030,11760,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4b,305,pypdf text extraction 2026-09-04
APS,electricity_heat,2040,4894,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4b,305,pypdf text extraction 2026-09-04
APS,electricity_heat,2050,2640,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4b,305,pypdf text extraction 2026-09-04
APS,passenger_cars,2023,3168,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4b,305,pypdf text extraction 2026-09-04
APS,passenger_cars,2030,2776,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4b,305,pypdf text extraction 2026-09-04
APS,passenger_cars,2035,2199,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4b,305,pypdf text extraction 2026-09-04
APS,passenger_cars,2040,1639,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4b,305,pypdf text extraction 2026-09-04
APS,passenger_cars,2050,934,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4b,305,pypdf text extraction 2026-09-04
NZE,electricity_heat,2023,15262,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,electricity_heat,2030,8861,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,electricity_heat,2035,3054,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,electricity_heat,2040,384,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,electricity_heat,2050,-299,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,transport,2023,8213,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,transport,2030,6202,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,transport,2040,2474,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,transport,2050,632,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,passenger_cars,2023,3168,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,passenger_cars,2030,2078,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,passenger_cars,2035,1091,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,passenger_cars,2040,525,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
NZE,passenger_cars,2050,96,iea_weo_2024,IEA_2024_WEO_Full_Report.pdf,Table A.4c,311,pypdf text extraction 2026-09-04
