market,company,destination,model,powertrain,scenario,cohort_year,units,lifetime_years,vkt_km,vkt_tier,test_cycle,real_world_factor,e_prod_year0_kgco2e,e_ref_year0_kgco2e,ti_per_vehicle_kgco2e,ti_tco2e
EU27,hyundai,AT,BAYON,HEV,S1,2024,60,15,12059.225,C,WLTP,1.211,1767.0504,2344.0617,2794.6135,167.6768
EU27,hyundai,AT,BAYON,ICE,S1,2024,705,15,12059.225,C,WLTP,1.191,1803.5469,2344.0617,2247.1651,1584.2514
EU27,hyundai,AT,G70 GENESIS G70,ICE,S1,2024,1,15,12059.225,C,WLTP,1.191,3102.3081,2344.0617,-17234.2526,-17.2343
EU27,hyundai,AT,G90 GENESIS G90,HEV,S1,2024,2,15,12059.225,C,WLTP,1.211,3753.1566,2344.0617,-26996.9795,-53.994
EU27,hyundai,AT,GV70 GENESIS GV70,BEV,S1,2024,1,15,12059.225,C,WLTP,1.0,237.0988,2344.0617,26735.8333,26.7358
EU27,hyundai,AT,GV70 GENESIS GV70,ICE,S1,2024,1,15,12059.225,C,WLTP,1.191,2815.0574,2344.0617,-12925.4913,-12.9255
EU27,hyundai,AT,I 30,HEV,S1,2024,324,15,12059.225,C,WLTP,1.211,2053.8514,2344.0617,-1507.402,-488.3983
EU27,hyundai,AT,I 30,ICE,S1,2024,1631,15,12059.225,C,WLTP,1.191,1940.0341,2344.0617,199.8572,325.9671
EU27,hyundai,AT,I 30 N,ICE,S1,2024,17,15,12059.225,C,WLTP,1.191,2728.0376,2344.0617,-11620.1952,-197.5433
EU27,hyundai,AT,I10,ICE,S1,2024,1575,15,12059.225,C,WLTP,1.191,1691.8064,2344.0617,3923.2733,6179.1554
EU27,hyundai,AT,I20,ICE,S1,2024,2058,15,12059.225,C,WLTP,1.191,1748.0486,2344.0617,3079.6393,6337.8978
EU27,hyundai,AT,I20 N,ICE,S1,2024,42,15,12059.225,C,WLTP,1.191,2269.2809,2344.0617,-4738.8449,-199.0315
EU27,hyundai,AT,IONIQ5,BEV,S1,2024,144,15,12059.225,C,WLTP,1.0,218.8571,2344.0617,26933.142,3878.3724
EU27,hyundai,AT,IONIQ5 N,BEV,S1,2024,77,15,12059.225,C,WLTP,1.0,264.5524,2344.0617,26438.8871,2035.7943
EU27,hyundai,AT,IONIQ6,BEV,S1,2024,51,15,12059.225,C,WLTP,1.0,195.9674,2344.0617,27180.7236,1386.2169
EU27,hyundai,AT,KONA KAUAI,BEV,S1,2024,527,15,12059.225,C,WLTP,1.0,185.7956,2344.0617,27290.7449,14382.2225
EU27,hyundai,AT,KONA KAUAI,HEV,S1,2024,630,15,12059.225,C,WLTP,1.211,1545.1658,2344.0617,6122.8821,3857.4157
EU27,hyundai,AT,KONA KAUAI,ICE,S1,2024,451,15,12059.225,C,WLTP,1.191,1961.4889,2344.0617,-121.9642,-55.0058
EU27,hyundai,AT,SANTA FE,HEV,S1,2024,11,15,12059.225,C,WLTP,1.211,2341.9054,2344.0617,-5828.2126,-64.1103
EU27,hyundai,AT,SANTA FE,ICE,S1,2024,8,15,12059.225,C,WLTP,1.191,2538.5785,2344.0617,-8778.3086,-70.2265
EU27,hyundai,AT,STARIA,HEV,S1,2024,1,15,12059.225,C,WLTP,1.211,2511.8402,2344.0617,-8377.2339,-8.3772
EU27,hyundai,AT,STARIA,ICE,S1,2024,17,15,12059.225,C,WLTP,1.191,3257.761,2344.0617,-19566.0465,-332.6228
EU27,hyundai,AT,STARIA PREMIUM,ICE,S1,2024,2,15,12059.225,C,WLTP,1.191,3332.1087,2344.0617,-20681.2616,-41.3625
EU27,hyundai,AT,TUCSON IX35,HEV,S1,2024,1849,15,12059.225,C,WLTP,1.211,2115.6763,2344.0617,-2434.7749,-4501.8988
EU27,hyundai,AT,TUCSON IX35,ICE,S1,2024,727,15,12059.225,C,WLTP,1.191,2253.4175,2344.0617,-4500.8936,-3272.1496
EU27,hyundai,BE,BAYON,HEV,S1,2024,309,14,14501.791,B,WLTP,1.211,2100.8076,1993.2305,-6129.3015,-1893.9542
EU27,hyundai,BE,BAYON,ICE,S1,2024,493,14,14501.791,B,WLTP,1.191,2131.1019,1993.2305,-6553.4215,-3230.8368
EU27,hyundai,BE,G80 GENESIS G80,ICE,S1,2024,1,14,14501.791,B,WLTP,1.191,3316.1535,1993.2305,-23144.1443,-23.1441
EU27,hyundai,BE,G90 GENESIS G90,HEV,S1,2024,1,14,14501.791,B,WLTP,1.211,4320.1705,1993.2305,-37200.3821,-37.2004
EU27,hyundai,BE,I 30,HEV,S1,2024,542,14,14501.791,B,WLTP,1.211,2203.5679,1993.2305,-7567.9464,-4101.8269
EU27,hyundai,BE,I 30,ICE,S1,2024,157,14,14501.791,B,WLTP,1.191,2227.051,1993.2305,-7896.7089,-1239.7833
EU27,hyundai,BE,I 30 N,ICE,S1,2024,42,14,14501.791,B,WLTP,1.191,3298.8819,1993.2305,-22902.3415,-961.8983
EU27,hyundai,BE,I10,ICE,S1,2024,1255,14,14501.791,B,WLTP,1.191,2028.5153,1993.2305,-5117.2092,-6422.0975
EU27,hyundai,BE,I20,HEV,S1,2024,5,14,14501.791,B,WLTP,1.211,2107.4002,1993.2305,-6221.5986,-31.108
EU27,hyundai,BE,I20,ICE,S1,2024,1171,14,14501.791,B,WLTP,1.191,2091.6811,1993.2305,-6001.5306,-7027.7924
EU27,hyundai,BE,I20 N,ICE,S1,2024,48,14,14501.791,B,WLTP,1.191,2728.918,1993.2305,-14922.8471,-716.2967
EU27,hyundai,BE,IONIQ5,BEV,S1,2024,468,14,14501.791,B,WLTP,1.0,321.2055,1993.2305,19862.2102,9295.5144
EU27,hyundai,BE,IONIQ5 N,BEV,S1,2024,71,14,14501.791,B,WLTP,1.0,390.3232,1993.2305,19126.3305,1357.9695
EU27,hyundai,BE,IONIQ6,BEV,S1,2024,347,14,14501.791,B,WLTP,1.0,274.7023,1993.2305,20357.3176,7063.9892
EU27,hyundai,BE,KONA KAUAI,BEV,S1,2024,588,14,14501.791,B,WLTP,1.0,278.6707,1993.2305,20315.067,11945.2594
EU27,hyundai,BE,KONA KAUAI,HEV,S1,2024,1274,14,14501.791,B,WLTP,1.211,1855.6871,1993.2305,-2697.6145,-3436.7609
EU27,hyundai,BE,KONA KAUAI,ICE,S1,2024,576,14,14501.791,B,WLTP,1.191,2301.0254,1993.2305,-8932.3505,-5145.0339
EU27,hyundai,BE,KONA N KAUAI N,ICE,S1,2024,5,14,14501.791,B,WLTP,1.191,3350.6968,1993.2305,-23627.75,-118.1388
EU27,hyundai,BE,SANTA FE,HEV,S1,2024,38,14,14501.791,B,WLTP,1.211,2737.3092,1993.2305,-15040.324,-571.5323
EU27,hyundai,BE,STARIA,HEV,S1,2024,1,14,14501.791,B,WLTP,1.211,3020.607,1993.2305,-19006.4934,-19.0065
EU27,hyundai,BE,STARIA,ICE,S1,2024,12,14,14501.791,B,WLTP,1.191,3848.6949,1993.2305,-30599.7244,-367.1967
EU27,hyundai,BE,STARIA PREMIUM,HEV,S1,2024,1,14,14501.791,B,WLTP,1.211,3020.607,1993.2305,-19006.4934,-19.0065
EU27,hyundai,BE,STARIA PREMIUM,ICE,S1,2024,3,14,14501.791,B,WLTP,1.191,3834.3025,1993.2305,-30398.2301,-91.1947
EU27,hyundai,BE,TUCSON IX35,HEV,S1,2024,3307,14,14501.791,B,WLTP,1.211,2400.4781,1993.2305,-10324.6893,-34143.7476
EU27,hyundai,BE,TUCSON IX35,ICE,S1,2024,196,14,14501.791,B,WLTP,1.191,2591.8019,1993.2305,-13003.2226,-2548.6316
EU27,hyundai,BG,BAYON,HEV,S1,2024,2,19,12059.225,C,WLTP,1.211,1752.4466,2002.7773,11950.4722,23.9009
EU27,hyundai,BG,BAYON,ICE,S1,2024,121,19,12059.225,C,WLTP,1.191,1781.3108,2002.7773,11402.0524,1379.6483
EU27,hyundai,BG,ELANTRA,ICE,S1,2024,37,19,12059.225,C,WLTP,1.191,1978.925,2002.7773,7647.3835,282.9532
EU27,hyundai,BG,GV80 GENESIS GV80,ICE,S1,2024,1,19,12059.225,C,WLTP,1.191,3504.4592,2002.7773,-21337.7655,-21.3378
EU27,hyundai,BG,I 30,HEV,S1,2024,29,19,12059.225,C,WLTP,1.211,2016.3213,2002.7773,6936.8538,201.1688
EU27,hyundai,BG,I 30,ICE,S1,2024,236,19,12059.225,C,WLTP,1.191,1967.85,2002.7773,7857.8076,1854.4426
EU27,hyundai,BG,I 30 N,ICE,S1,2024,5,19,12059.225,C,WLTP,1.191,2717.3921,2002.7773,-6383.4914,-31.9175
EU27,hyundai,BG,I10,ICE,S1,2024,284,19,12059.225,C,WLTP,1.191,1718.0424,2002.7773,12604.1523,3579.5793
EU27,hyundai,BG,I20,ICE,S1,2024,253,19,12059.225,C,WLTP,1.191,1740.0243,2002.7773,12186.4969,3083.1837
EU27,hyundai,BG,I20 N,ICE,S1,2024,5,19,12059.225,C,WLTP,1.191,2269.2809,2002.7773,2130.6208,10.6531
EU27,hyundai,BG,IONIQ5,BEV,S1,2024,24,19,12059.225,C,WLTP,1.0,612.5747,2002.7773,37538.0377,900.9129
EU27,hyundai,BG,IONIQ5 N,BEV,S1,2024,23,19,12059.225,C,WLTP,1.0,712.8956,2002.7773,36275.5537,834.3377
EU27,hyundai,BG,IONIQ6,BEV,S1,2024,30,19,12059.225,C,WLTP,1.0,517.2975,2002.7773,38737.049,1162.1115
EU27,hyundai,BG,KONA KAUAI,BEV,S1,2024,121,19,12059.225,C,WLTP,1.0,497.7097,2002.7773,38983.5511,4717.0097
EU27,hyundai,BG,KONA KAUAI,HEV,S1,2024,142,19,12059.225,C,WLTP,1.211,1528.4548,2002.7773,16206.3181,2301.2972
EU27,hyundai,BG,KONA KAUAI,ICE,S1,2024,85,19,12059.225,C,WLTP,1.191,2127.0071,2002.7773,4833.8242,410.8751
EU27,hyundai,BG,SANTA FE,HEV,S1,2024,52,19,12059.225,C,WLTP,1.211,2436.0133,2002.7773,-1037.2939,-53.9393
EU27,hyundai,BG,SANTA FE,ICE,S1,2024,2,19,12059.225,C,WLTP,1.191,2556.5317,2002.7773,-3327.1434,-6.6543
EU27,hyundai,BG,STARIA,HEV,S1,2024,3,19,12059.225,C,WLTP,1.211,2511.8402,2002.7773,-2478.0051,-7.434
EU27,hyundai,BG,STARIA,ICE,S1,2024,13,19,12059.225,C,WLTP,1.191,3219.4174,2002.7773,-15921.9714,-206.9856
EU27,hyundai,BG,STARIA PREMIUM,ICE,S1,2024,28,19,12059.225,C,WLTP,1.191,3321.8495,2002.7773,-17868.1829,-500.3091
EU27,hyundai,BG,TUCSON IX35,HEV,S1,2024,632,19,12059.225,C,WLTP,1.211,2183.2097,2002.7773,3765.9739,2380.0955
EU27,hyundai,BG,TUCSON IX35,ICE,S1,2024,48,19,12059.225,C,WLTP,1.191,2242.6499,2002.7773,2636.6102,126.5573
EU27,hyundai,CY,BAYON,ICE,S1,2024,91,21,12059.225,C,WLTP,1.191,1786.6365,2046.1065,-1954.2567,-177.8374
EU27,hyundai,CY,I 30,HEV,S1,2024,9,21,12059.225,C,WLTP,1.211,1848.1828,2046.1065,-3246.7296,-29.2206
EU27,hyundai,CY,I 30,ICE,S1,2024,5,21,12059.225,C,WLTP,1.191,1809.6797,2046.1065,-2438.165,-12.1908
EU27,hyundai,CY,I 30 N,ICE,S1,2024,6,21,12059.225,C,WLTP,1.191,2743.2447,2046.1065,-22043.0288,-132.2582
EU27,hyundai,CY,I10,ICE,S1,2024,60,21,12059.225,C,WLTP,1.191,1795.0773,2046.1065,-2131.5148,-127.8909
EU27,hyundai,CY,I20,ICE,S1,2024,108,21,12059.225,C,WLTP,1.191,1779.4911,2046.1065,-1804.2041,-194.854
EU27,hyundai,CY,I20 N,ICE,S1,2024,11,21,12059.225,C,WLTP,1.191,2269.2809,2046.1065,-12089.7903,-132.9877
EU27,hyundai,CY,IONIQ5,BEV,S1,2024,63,21,12059.225,C,WLTP,1.0,1097.7682,2046.1065,16306.706,1027.3225
EU27,hyundai,CY,IONIQ5 N,BEV,S1,2024,2,21,12059.225,C,WLTP,1.0,1306.988,2046.1065,12636.3142,25.2726
EU27,hyundai,CY,IONIQ6,BEV,S1,2024,19,21,12059.225,C,WLTP,1.0,965.964,2046.1065,18618.9776,353.7606
EU27,hyundai,CY,KONA KAUAI,BEV,S1,2024,34,21,12059.225,C,WLTP,1.0,935.6351,2046.1065,19151.0446,651.1355
EU27,hyundai,CY,KONA KAUAI,HEV,S1,2024,54,21,12059.225,C,WLTP,1.211,1538.8,2046.1065,3250.3086,175.5167
EU27,hyundai,CY,KONA KAUAI,ICE,S1,2024,46,21,12059.225,C,WLTP,1.191,1967.6676,2046.1065,-5755.9112,-264.7719
EU27,hyundai,CY,KONA N KAUAI N,ICE,S1,2024,1,21,12059.225,C,WLTP,1.191,2786.3323,2046.1065,-22947.8686,-22.9479
EU27,hyundai,CY,TUCSON IX35,HEV,S1,2024,760,21,12059.225,C,WLTP,1.211,2037.3726,2046.1065,-7219.7146,-5486.9831
EU27,hyundai,CY,TUCSON IX35,ICE,S1,2024,8,21,12059.225,C,WLTP,1.191,2188.4917,2046.1065,-10393.2155,-83.1457
EU27,hyundai,CZ,BAYON,HEV,S1,2024,13,16,10618.247,A,WLTP,1.211,1532.1626,1812.621,3584.7345,46.6015
EU27,hyundai,CZ,BAYON,ICE,S1,2024,1575,16,10618.247,A,WLTP,1.191,1591.8722,1812.621,2629.3807,4141.2746
EU27,hyundai,CZ,G80 GENESIS G80,ICE,S1,2024,1,16,10618.247,A,WLTP,1.191,2428.0958,1812.621,-10750.1959,-10.7502
EU27,hyundai,CZ,GV80 GENESIS GV80,ICE,S1,2024,1,16,10618.247,A,WLTP,1.191,3123.6441,1812.621,-21878.9683,-21.879
EU27,hyundai,CZ,I 10,ICE,S1,2024,1,16,10618.247,A,WLTP,1.191,1504.9135,1812.621,4020.7201,4.0207
EU27,hyundai,CZ,I 20,ICE,S1,2024,2,16,10618.247,A,WLTP,1.191,1504.9135,1812.621,4020.7201,8.0414
