cohort_year,market,country,dataset,parameter,value,observation_year,lag_years,status,tier,source_id,note
2024,EU27,AT,country_emissions,fleet_intensity_gco2_km (passenger_car),194.37912539961155,2024,0,current,C,eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage,
2024,EU27,AT,country_emissions,grid_gco2_kwh (passenger_car),103.48,2024,0,current,A,eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage,
2024,EU27,AT,emission_targets,r_fleet (S1),0.026658229,2024,0,current,A,eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda,policy basis observed_trend; vintage is the year the policy was announced (S1: the last observed year); a later sale year is measured against a policy that has not changed since
2024,EU27,AT,emission_targets,r_fleet (S2),0.135101686,2024,0,current,B,ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3,policy basis ndc_prorata; vintage is the year the policy was announced (S1: the last observed year); a later sale year is measured against a policy that has not changed since
2024,EU27,AT,emission_targets,r_power (S1),0.048804873,2024,0,current,A,owid_ember_grid_intensity,policy basis observed_trend; vintage is the year the policy was announced (S1: the last observed year); a later sale year is measured against a policy that has not changed since
2024,EU27,AT,emission_targets,r_power (S2),0.085599875,2024,0,current,B,ec_2040_com_2024_63;eurostat_env_air_gge_crf1a1a,policy basis ndc_prorata; vintage is the year the policy was announced (S1: the last observed year); a later sale year is measured against a policy that has not changed since
2024,EU27,AT,sales,volumes (hyundai),2024-01..2024-12,2024,0,current,,,
2024,EU27,AT,sales,volumes (kia),2024-01..2024-12,2024,0,current,,,
2024,EU27,AT,sales,volumes (nissan),2024-01..2024-12,2024,0,current,,,
2024,EU27,AT,sales,volumes (toyota),2024-01..2024-12,2024,0,current,,,
2024,EU27,AT,vehicle_usage,lifetime_years (passenger_car),15,2024,0,current,B,eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage,
2024,EU27,AT,vehicle_usage,mean_age_years (passenger_car),10.099948718370197,2024,0,current,A,eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage,
2024,EU27,AT,vehicle_usage,stock (passenger_car),5231893.0,2024,0,current,C,eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage,
2024,EU27,AT,vehicle_usage,vkt_km (passenger_car),12059.225470942853,2024,0,current,C,eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage,
2024,EU27,BE,country_emissions,fleet_intensity_gco2_km (passenger_car),137.44719514959004,2024,0,current,B,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage,
2024,EU27,BE,country_emissions,grid_gco2_kwh (passenger_car),126.96,2024,0,current,A,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage,
2024,EU27,BE,emission_targets,r_fleet (S1),0.028496065,2024,0,current,A,eurostat_env_air_gge_crf1a3b1;eurostat_road_eqs_carpda,policy basis observed_trend; vintage is the year the policy was announced (S1: the last observed year); a later sale year is measured against a policy that has not changed since
2024,EU27,BE,emission_targets,r_fleet (S2),0.135101686,2024,0,current,B,ec_2040_com_2024_63;eurostat_env_air_gge_crf1a3,policy basis ndc_prorata; vintage is the year the policy was announced (S1: the last observed year); a later sale year is measured against a policy that has not changed since
2024,EU27,BE,emission_targets,r_power (S1),0.043622042,2024,0,current,A,owid_ember_grid_intensity,policy basis observed_trend; vintage is the year the policy was announced (S1: the last observed year); a later sale year is measured against a policy that has not changed since
