company,market,cohort_year,analysis_level,layer1_method,sales_basis,test_cycles,covered_units,withheld_units,covered_share,vkt_tier_c_units,vkt_tier_c_share,directional_only,lifetime_t_central_years,scenarios_reported,scenarios_excluded,countries_covered,countries,countries_withheld,markets_covered,markets_vkt_tier_a,markets_vkt_tier_b,markets_vkt_tier_c,markets_fleet_tier_c,withheld_reasons,coverage_notes,cell_tier_a_units,cell_tier_b_units,cell_tier_c_units,cell_tier_c_share,warnings
nissan,EU27,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),registrations,WLTP,197588,460,0.997677,107867,0.545919,True,18,S1;S2,,26,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LV;MT;NL;PL;PT;RO;SE;SI;SK,LU,26,12,2,12,12,no_certified_value 460,,0,84912,112676,0.570257,FLEET_INTENSITY_IMPLAUSIBLE; VKT_PROXY
nissan,JP,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),registrations,WLTC_JP,214441,14346,0.937295,0,0.0,False,13,S1;S2,,1,JP,,1,0,1,0,0,"no_certified_value 14,346",,0,0,214441,1.0,FISCAL_YEAR; KEI_IN_BENCHMARK; LIFETIME_TIER_B; VKT_TIER_B
nissan,JP,2025,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),registrations,WLTC_JP,169528,9595,0.946433,0,0.0,False,13,S1;S2,,1,JP,,1,0,1,0,0,"no_certified_value 9,595",,0,0,169528,1.0,FISCAL_YEAR; KEI_IN_BENCHMARK; LIFETIME_TIER_B; VKT_TIER_B
nissan,US,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),brand_total_sales,EPA,864996,942,0.998912,0,0.0,False,13,S1;S2,,1,US,,1,0,1,0,0,no_certified_value 942,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total),0,0,864996,1.0,LIFETIME_TIER_C; VKT_TIER_B
nissan,US,2025,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),brand_total_sales,EPA,873293,14,0.999984,0,0.0,False,13,S1;S2,,1,US,,1,0,1,0,0,no_certified_value 14,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total),0,0,873293,1.0,LIFETIME_TIER_C; VKT_TIER_B
toyota,EU27,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),registrations,WLTP,801161,1933,0.997593,427457,0.533547,True,19,S1;S2,,26,AT;BE;BG;CY;CZ;DE;DK;EE;ES;FI;FR;GR;HR;HU;IE;IT;LT;LV;MT;NL;PL;PT;RO;SE;SI;SK,LU,26,12,2,12,12,"FCEV 690; PHEV 27; no_certified_value 1,216",,0,356625,444536,0.554865,FLEET_INTENSITY_IMPLAUSIBLE; VKT_PROXY
toyota,JP,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),registrations,WLTC_JP,1189107,8103,0.993232,0,0.0,False,13,S1;S2,,1,JP,,1,0,1,0,0,"no_certified_value 8,103",,0,0,1189107,1.0,FISCAL_YEAR; KEI_IN_BENCHMARK; LIFETIME_TIER_B; VKT_TIER_B
toyota,JP,2025,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),registrations,WLTC_JP,1212140,0,1.0,0,0.0,False,13,S1;S2,,1,JP,,1,0,1,0,0,,,0,0,1212140,1.0,FISCAL_YEAR; KEI_IN_BENCHMARK; LIFETIME_TIER_B; VKT_TIER_B
toyota,US,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),brand_total_sales,EPA,1986904,50,0.999975,0,0.0,False,13,S1;S2,,1,US,,1,0,1,0,0,no_certified_value 50,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total),0,0,1986904,1.0,LIFETIME_TIER_C; VKT_TIER_B
toyota,US,2025,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),brand_total_sales,EPA,2147795,16,0.999993,0,0.0,False,13,S1;S2,,1,US,,1,0,1,0,0,no_certified_value 16,brand total sales including fleet as published by the company's US release (the Hyundai IR sheet is labelled retail but equals the brand total),0,0,2147795,1.0,LIFETIME_TIER_C; VKT_TIER_B
