company,market,cohort_year,segment,status,period,units_held,units_assessed,covered_share,lifetime_years,lifetime_low_years,lifetime_high_years,volume_rank,share_of_global,markets_assessed,grid_min_gco2_kwh,grid_max_gco2_kwh,grid_spread,target_level,registration_database,criteria_met,criteria_failed,note
hyundai,EU27,2024,passenger_car,assessed,2024-01..2024-12,429936,428490,0.996637,12,10,25,3,0.430837,3,34.91,608.18,17.42,ndc_prorata,yes,6.3-1;6.3-3;6.3-4a;6.3-4b;6.3-4c,6.3-2,
hyundai,KR,2024,bus;freight;passenger_car,assessed,2024-01..2024-12,556292,529428,0.951709,11,10,19,2,0.430837,3,34.91,608.18,17.42,net_zero_2050,no (domestic_sales),6.3-1;6.3-3;6.3-4a;6.3-4b,6.3-2;6.3-4c,
hyundai,KR,2025,bus;freight;passenger_car,assessed,2025-01..2025-12,578094,551295,0.953642,11,10,19,2,0.352224,2,383.78,415.51,1.08,net_zero_2050,no (domestic_sales),6.3-1;6.3-4a;6.3-4b,6.3-2;6.3-3;6.3-4c,
hyundai,US,2024,light_duty,assessed,2024-01..2024-12,836802,836753,0.999941,13,10,16,1,0.430837,3,34.91,608.18,17.42,ndc_prorata,no (brand_total_sales),6.3-1;6.3-3;6.3-4a;6.3-4b,6.3-2;6.3-4c,
hyundai,US,2025,light_duty,assessed,2025-01..2025-12,901686,896481,0.994227,13,10,16,1,0.352224,2,383.78,415.51,1.08,ndc_prorata,no (brand_total_sales),6.3-1;6.3-4a;6.3-4b,6.3-2;6.3-3;6.3-4c,
kia,EU27,2024,passenger_car,assessed,2024-01..2024-12,414677,413069,0.996122,12,10,25,3,0.579194,3,34.91,608.18,17.42,ndc_prorata,yes,6.3-1;6.3-3;6.3-4a;6.3-4b;6.3-4c,6.3-2,
kia,KR,2024,bus;freight;passenger_car,assessed,2024-01..2024-12,538785,534866,0.992726,11,10,19,2,0.579194,3,34.91,608.18,17.42,net_zero_2050,no (retail_sales;retail_sales_estimated),6.3-1;6.3-3;6.3-4a;6.3-4b,6.3-2;6.3-4c,
kia,KR,2025,bus;freight;passenger_car,assessed,2025-01..2025-12,548205,544364,0.992993,11,10,19,2,0.450985,2,383.78,415.51,1.08,net_zero_2050,no (retail_sales),6.3-1;6.3-4a;6.3-4b,6.3-2;6.3-3;6.3-4c,
kia,KR,2026,bus;freight;passenger_car,assessed,2026-01..2026-07,351164,349551,0.995407,11,10,19,2,0.449447,2,383.78,415.51,1.08,net_zero_2050,no (retail_sales),6.3-1;6.3-4a;6.3-4b,6.3-2;6.3-3;6.3-4c,
kia,US,2024,light_duty,assessed,2024-01..2024-12,796488,794571,0.997593,13,10,16,1,0.579194,3,34.91,608.18,17.42,ndc_prorata,no (brand_total_sales),6.3-1;6.3-3;6.3-4a;6.3-4b,6.3-2;6.3-4c,
kia,US,2025,light_duty,assessed,2025-01..2025-12,852155,852155,1.0,13,10,16,1,0.450985,2,383.78,415.51,1.08,ndc_prorata,no (brand_total_sales),6.3-1;6.3-4a;6.3-4b,6.3-2;6.3-3;6.3-4c,
kia,US,2026,light_duty,assessed,2026-01..2026-07,506584,506584,1.0,13,10,16,1,0.449447,2,383.78,415.51,1.08,ndc_prorata,no (retail_sales),6.3-1;6.3-4a;6.3-4b,6.3-2;6.3-3;6.3-4c,
nissan,EU27,2024,passenger_car,assessed,2024-01..2024-12,198048,197588,0.997677,12,10,25,3,0.38135,3,34.91,608.18,17.42,ndc_prorata,yes,6.3-1;6.3-3;6.3-4a;6.3-4b;6.3-4c,6.3-2,
nissan,JP,2024,freight;passenger_car,assessed,2024-01..2024-12,228787,214441,0.937295,13,10,19,2,0.38135,3,34.91,608.18,17.42,gx_2040_prorata,yes,6.3-1;6.3-3;6.3-4a;6.3-4b;6.3-4c,6.3-2,
nissan,JP,2025,freight;passenger_car,assessed,2025-01..2025-12,179123,169528,0.946433,13,10,19,2,0.325664,2,383.78,483.43,1.26,gx_2040_prorata,yes,6.3-1;6.3-4a;6.3-4b;6.3-4c,6.3-2;6.3-3,
nissan,US,2024,light_duty,assessed,2024-01..2024-12,865938,864996,0.998912,13,10,16,1,0.38135,3,34.91,608.18,17.42,ndc_prorata,no (brand_total_sales),6.3-1;6.3-3;6.3-4a;6.3-4b,6.3-2;6.3-4c,
nissan,US,2025,light_duty,assessed,2025-01..2025-12,873307,873293,0.999984,13,10,16,1,0.325664,2,383.78,483.43,1.26,ndc_prorata,no (brand_total_sales),6.3-1;6.3-4a;6.3-4b,6.3-2;6.3-3;6.3-4c,
toyota,EU27,2024,passenger_car,assessed,2024-01..2024-12,803094,801161,0.997593,12,10,25,3,0.39148,3,34.91,608.18,17.42,ndc_prorata,yes,6.3-1;6.3-3;6.3-4a;6.3-4b;6.3-4c,6.3-2,
toyota,JP,2024,freight;passenger_car,assessed,2024-01..2024-12,1197210,1189107,0.993232,13,10,19,2,0.39148,3,34.91,608.18,17.42,gx_2040_prorata,yes,6.3-1;6.3-3;6.3-4a;6.3-4b;6.3-4c,6.3-2,
toyota,JP,2025,freight;passenger_car,assessed,2025-01..2025-12,1212140,1212140,1.0,13,10,19,2,0.318876,2,383.78,483.43,1.26,gx_2040_prorata,yes,6.3-1;6.3-4a;6.3-4b;6.3-4c,6.3-2;6.3-3,
toyota,US,2024,light_duty,assessed,2024-01..2024-12,1986954,1986904,0.999975,13,10,16,1,0.39148,3,34.91,608.18,17.42,ndc_prorata,no (brand_total_sales),6.3-1;6.3-3;6.3-4a;6.3-4b,6.3-2;6.3-4c,
toyota,US,2025,light_duty,assessed,2025-01..2025-12,2147811,2147795,0.999993,13,10,16,1,0.318876,2,383.78,483.43,1.26,ndc_prorata,no (brand_total_sales),6.3-1;6.3-4a;6.3-4b,6.3-2;6.3-3;6.3-4c,
hyundai,BR,,,plant_side_only,,198113,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
hyundai,CN,,,plant_side_only,,128399,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
hyundai,ID,,,plant_side_only,,15151,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
hyundai,IN,,,plant_side_only,,571878,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,"benchmark not built: free official inputs are partial and mostly proxies. Sourced: grid intensity (CEA CO2 baseline database xlsx, Ember), car stock 1991-2020 (MoRTH Road Transport Year Book Table 2.1, data.gov.in GODL API to 2017), NDC anchor (2022 updated NDC, intensity target only). Missing or proxy-only: passenger-car CO2 (UNFCCC BUR/BTR give whole road transport at 2016, 2020, 2022 only, no car split; BTR1 CRT xlsx must be fetched by hand from unfccc.int/documents/656940), annual km per car (no survey; Goel et al. 2015 Delhi 12,200 km), vehicle age (none published), certified technology by model (BEE CAFE reports OEM averages only; MIDC cycle). S2 would be FLAG (no absolute or sector target). More than half the inputs proxied, so any result would be direction-only under guideline 5.3. Model-level sales are not free: Hyundai Motor India and Kia India publish company totals only, SIAM model data is paid, Vahan's public report hides the model and exports by hand behind a CAPTCHA."
hyundai,LU,,,withheld,,1357,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
hyundai,SG,,,plant_side_only,,234,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
hyundai,TR,,,plant_side_only,,41287,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
hyundai,VN,,,plant_side_only,,44590,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
hyundai,export,,,plant_side_only,,848960,0,0,,,,,,,,,,,,,not evaluated: no benchmark built,
