company,market,cohort_year,destination,scenario,units,ti_tco2e,ti_per_vehicle_kgco2e,direction
hyundai,EU27,2024,AT,S1,11364,-39753.685,-3498.2123,contribution
hyundai,EU27,2024,AT,S2,11364,117820.7873,10367.8975,liability
hyundai,EU27,2024,BE,S1,12147,27435.4517,2258.6196,liability
hyundai,EU27,2024,BE,S2,12147,152584.6734,12561.5109,liability
hyundai,EU27,2024,BG,S1,2336,-27014.2243,-11564.3083,contribution
hyundai,EU27,2024,BG,S2,2336,45627.2865,19532.2288,liability
hyundai,EU27,2024,CY,S1,1340,4015.1634,2996.3906,liability
hyundai,EU27,2024,CY,S2,1340,30874.4921,23040.6657,liability
hyundai,EU27,2024,CZ,S1,20260,-10830.7738,-534.589,contribution
hyundai,EU27,2024,CZ,S2,20260,311101.0018,15355.4295,liability
hyundai,EU27,2024,DE,S1,96117,246272.6023,2562.2169,liability
hyundai,EU27,2024,DE,S2,96117,1243749.1829,12939.9501,liability
hyundai,EU27,2024,DK,S1,4815,-37550.4916,-7798.6483,contribution
hyundai,EU27,2024,DK,S2,4815,7572.8584,1572.7639,liability
hyundai,EU27,2024,EE,S1,714,-1288.1905,-1804.1884,contribution
hyundai,EU27,2024,EE,S2,714,9336.1378,13075.8232,liability
hyundai,EU27,2024,ES,S1,64837,271359.6749,4185.2596,liability
hyundai,EU27,2024,ES,S2,64837,1511052.5893,23305.4057,liability
hyundai,EU27,2024,FI,S1,3101,23023.9738,7424.6933,liability
hyundai,EU27,2024,FI,S2,3101,33528.3231,10812.1003,liability
hyundai,EU27,2024,FR,S1,49652,13903.9478,280.028,liability
hyundai,EU27,2024,FR,S2,49652,649908.6888,13089.2751,liability
hyundai,EU27,2024,GR,S1,8879,134447.1218,15142.1468,liability
hyundai,EU27,2024,GR,S2,8879,229063.2792,25798.3195,liability
hyundai,EU27,2024,HR,S1,3381,-41262.1905,-12204.138,contribution
hyundai,EU27,2024,HR,S2,3381,68185.4498,20167.2434,liability
hyundai,EU27,2024,HU,S1,4753,-6431.0185,-1353.0441,contribution
hyundai,EU27,2024,HU,S2,4753,111166.8568,23388.7769,liability
hyundai,EU27,2024,IE,S1,11222,48517.1279,4323.394,liability
hyundai,EU27,2024,IE,S2,11222,227281.2276,20253.1837,liability
hyundai,EU27,2024,IT,S1,49430,379647.9285,7680.5165,liability
hyundai,EU27,2024,IT,S2,49430,1101679.0821,22287.661,liability
hyundai,EU27,2024,LT,S1,743,9025.0226,12146.733,liability
hyundai,EU27,2024,LT,S2,743,20250.7397,27255.3697,liability
hyundai,EU27,2024,LV,S1,668,5251.0371,7860.834,liability
hyundai,EU27,2024,LV,S2,668,17181.1058,25720.2183,liability
hyundai,EU27,2024,MT,S1,750,-5702.9953,-7603.9937,contribution
hyundai,EU27,2024,MT,S2,750,8227.5973,10970.1297,liability
hyundai,EU27,2024,NL,S1,20579,64431.8551,3130.9517,liability
hyundai,EU27,2024,NL,S2,20579,240530.3088,11688.1437,liability
hyundai,EU27,2024,PL,S1,30949,170473.1339,5508.1952,liability
hyundai,EU27,2024,PL,S2,30949,1092135.4018,35288.2291,liability
hyundai,EU27,2024,PT,S1,7190,34469.6814,4794.1142,liability
hyundai,EU27,2024,PT,S2,7190,155832.7043,21673.5333,liability
hyundai,EU27,2024,RO,S1,10261,129983.7695,12667.7487,liability
hyundai,EU27,2024,RO,S2,10261,354113.2427,34510.5977,liability
hyundai,EU27,2024,SE,S1,2057,-3540.3234,-1721.1101,contribution
hyundai,EU27,2024,SE,S2,2057,18281.7771,8887.5922,liability
hyundai,EU27,2024,SI,S1,2771,-26300.4835,-9491.3329,contribution
hyundai,EU27,2024,SI,S2,2771,49343.6666,17807.1695,liability
hyundai,EU27,2024,SK,S1,8174,66138.2776,8091.2989,liability
hyundai,EU27,2024,SK,S2,8174,197893.5492,24210.1235,liability
hyundai,KR,2024,KR,S1,529428,-5023445.0451,-9488.4386,contribution
hyundai,KR,2024,KR,S2,529428,4250458.9031,8028.3984,liability
hyundai,KR,2025,KR,S1,551295,-4841894.4574,-8782.765,contribution
hyundai,KR,2025,KR,S2,551295,4085040.8614,7409.9001,liability
hyundai,US,2024,US,S1,836753,-1670671.659,-1996.6127,contribution
hyundai,US,2024,US,S2,836753,8822226.4485,10543.4058,liability
hyundai,US,2025,US,S1,896481,-1615216.1912,-1801.7294,contribution
hyundai,US,2025,US,S2,896481,9621707.2263,10732.7509,liability
kia,EU27,2024,AT,S1,7030,-44297.9123,-6301.2678,contribution
kia,EU27,2024,AT,S2,7030,52873.368,7521.105,liability
kia,EU27,2024,BE,S1,17605,-13408.1965,-761.613,contribution
kia,EU27,2024,BE,S2,17605,166490.1688,9456.982,liability
kia,EU27,2024,BG,S1,2706,-20798.3476,-7686.0117,contribution
kia,EU27,2024,BG,S2,2706,63826.0239,23586.8529,liability
kia,EU27,2024,CY,S1,2840,13273.3262,4673.7064,liability
kia,EU27,2024,CY,S2,2840,72129.702,25397.7824,liability
kia,EU27,2024,CZ,S1,10711,-7247.3694,-676.6286,contribution
kia,EU27,2024,CZ,S2,10711,163086.702,15226.0949,liability
kia,EU27,2024,DE,S1,68513,155411.4654,2268.35,liability
kia,EU27,2024,DE,S2,68513,864145.6878,12612.8718,liability
kia,EU27,2024,DK,S1,4614,-55586.0052,-12047.2486,contribution
kia,EU27,2024,DK,S2,4614,-12219.544,-2648.3624,contribution
kia,EU27,2024,EE,S1,1682,3379.1587,2009.0123,liability
kia,EU27,2024,EE,S2,1682,28723.6007,17077.0515,liability
kia,EU27,2024,ES,S1,59901,184620.5941,3082.0954,liability
kia,EU27,2024,ES,S2,59901,1329816.8137,22200.244,liability
kia,EU27,2024,FI,S1,5314,63282.8712,11908.7074,liability
kia,EU27,2024,FI,S2,5314,81164.4106,15273.6941,liability
kia,EU27,2024,FR,S1,47140,13422.5326,284.7376,liability
kia,EU27,2024,FR,S2,47140,616750.8561,13083.3868,liability
kia,EU27,2024,GR,S1,4764,71031.6723,14910.0907,liability
kia,EU27,2024,GR,S2,4764,121734.4774,25552.9969,liability
kia,EU27,2024,HR,S1,3280,-32807.0339,-10002.1445,contribution
kia,EU27,2024,HR,S2,3280,73640.1847,22451.2758,liability
kia,EU27,2024,HU,S1,6478,30021.1618,4634.3257,liability
kia,EU27,2024,HU,S2,6478,191175.4027,29511.4854,liability
kia,EU27,2024,IE,S1,8983,23501.5536,2616.2255,liability
kia,EU27,2024,IE,S2,8983,165213.6635,18391.8138,liability
kia,EU27,2024,IT,S1,47627,420006.0169,8818.6536,liability
kia,EU27,2024,IT,S2,47627,1114337.0439,23397.1706,liability
kia,EU27,2024,LT,S1,2241,40482.268,18064.3766,liability
kia,EU27,2024,LT,S2,2241,74368.8605,33185.5692,liability
