market,country,cohort_year,vkt_km,vkt_low_km,vkt_high_km,vkt_tier,vkt_year,vkt_derivation,car_stock,car_stock_year,car_co2_kt,car_co2_year,fleet_intensity_gco2_km,fleet_intensity_tier,grid_gco2_kwh,grid_year,grid_tier,mean_car_age_years,mean_car_age_year,mean_car_age_tier,lifetime_years,lifetime_low_years,lifetime_high_years,scenarios_excluded,scenario_exclusion_reason,warnings,source_ids
EU27,AT,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",5231893.0,2024,12263.88,2024,194.37912539961155,C,103.48,2024,A,10.099948718370197,2024,A,15,10,20,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,BE,2024,14501.790758619809,,,B,2017,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2017).,6099089.0,2024,12156.89,2024,137.44719514959004,B,126.96,2024,A,9.275069112780614,2024,A,14,10,19,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,BG,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",3116742.0,2024,6242.14,2024,166.07843214305126,C,278.85,2024,A,12.355719274017453,2024,C,19,12,25,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,CY,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",647327.0,2024,1324.5,2024,169.67147120965515,C,511.23,2024,A,14.08331106226065,2024,A,21,14,25,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,CZ,2024,10618.247011376023,,,A,2024,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2024).,6638172.0,2024,12032.49,2024,170.70812185441739,A,414.23,2024,A,10.969479695878025,2015,B,16,11,22,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,DE,2024,12041.87358983733,,,A,2024,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2024).,49339166.0,2024,89323.55,2024,150.34192508112622,A,336.38,2024,A,10.121447340638065,2024,A,15,10,20,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,DK,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",2864904.0,2024,5371.59,2024,155.4795831685091,C,131.77,2024,A,9.69261518012471,2024,A,15,10,19,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,EE,2024,7387.617770477943,,,A,2023,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2023).,869666.0,2024,1386.04,2024,215.73412872498733,A,343.45,2024,A,15.789019002697588,2024,A,24,16,25,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,ES,2024,12059.225470942853,10846.700493238997,13264.79963479222,C,2024,"EU average distance per registered car, stock-weighted over member states that publish a matching traffic series; no national series is available.",26700972.0,2024,52285.1,2024,162.37959594866146,C,146.22,2024,A,13.750396483693553,2024,A,21,14,25,,,"VKT_PROXY: EU average distance per car used; the benchmark side is unaffected (distance cancels in CO2 per car), the product side scales with it.",eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
EU27,FI,2024,10282.381420730691,,,A,2024,Eurostat road_tf_veh (TER_REGNAT) car vehicle-kilometres divided by the registered car stock of the same year (2024).,3755842.0,2024,4969.08,2024,128.66930785364715,A,66.63,2024,A,15.37619700189731,2024,A,23,15,25,,,,eurostat_road_tf_veh;eurostat_road_eqs_carpda;eurostat_env_air_gge_crf1a3b1;owid_ember_grid_intensity;eurostat_road_eqs_carage
