market,company,cohort_year,scenario,t,calendar_year,surviving_vehicles,ti_tco2e
US,kia,2025,S1,9,2034,836571,-97650.2711
US,kia,2025,S1,10,2035,836571,-128794.7934
US,kia,2025,S1,11,2036,836571,-159619.0338
US,kia,2025,S1,12,2037,836571,-190125.8183
US,kia,2025,S3,0,2025,836571,197534.1946
US,kia,2025,S3,1,2026,836571,-116255.0009
US,kia,2025,S3,2,2027,836571,-399666.0209
US,kia,2025,S3,3,2028,836571,-655531.4803
US,kia,2025,S3,4,2029,836571,-886441.7321
US,kia,2025,S3,5,2030,836571,-1094761.0027
US,kia,2025,S3,6,2031,836571,-1282643.5036
US,kia,2025,S3,7,2032,836571,-1452049.2056
US,kia,2025,S3,8,2033,836571,-1604759.0617
US,kia,2025,S3,9,2034,836571,-1742389.5336
US,kia,2025,S3,10,2035,836571,-1866406.3309
US,kia,2025,S3,11,2036,836571,-1978137.3109
US,kia,2025,S3,12,2037,836571,-2078784.5149
US,kia,2026,S1,0,2026,422171,63614.2334
US,kia,2026,S1,1,2027,422171,46067.0866
US,kia,2026,S1,2,2028,422171,28703.6917
US,kia,2026,S1,3,2029,422171,11522.3225
US,kia,2026,S1,4,2030,422171,-5478.7375
US,kia,2026,S1,5,2031,422171,-22301.194
US,kia,2026,S1,6,2032,422171,-38946.7441
US,kia,2026,S1,7,2033,422171,-55417.0719
US,kia,2026,S1,8,2034,422171,-71713.8528
US,kia,2026,S1,9,2035,422171,-87838.7506
US,kia,2026,S1,10,2036,422171,-103793.4177
US,kia,2026,S1,11,2037,422171,-119579.4971
US,kia,2026,S1,12,2038,422171,-135198.6186
US,kia,2026,S3,0,2026,422171,63614.2334
US,kia,2026,S3,1,2027,422171,-96804.6396
US,kia,2026,S3,2,2028,422171,-241490.7868
US,kia,2026,S3,3,2029,422171,-371952.072
US,kia,2026,S3,4,2030,422171,-489558.8337
US,kia,2026,S3,5,2031,422171,-595555.0011
US,kia,2026,S3,6,2032,422171,-691068.6201
US,kia,2026,S3,7,2033,422171,-777121.7413
US,kia,2026,S3,8,2034,422171,-854639.6553
US,kia,2026,S3,9,2035,422171,-924459.4739
US,kia,2026,S3,10,2036,422171,-987338.0696
US,kia,2026,S3,11,2037,422171,-1043959.3969
US,kia,2026,S3,12,2038,422171,-1094941.2187
