market,company,cohort_year,scenario,t,calendar_year,surviving_vehicles,ti_tco2e
EU27,kia,2024,S1,18,2042,191527,-95949.8982
EU27,kia,2024,S1,19,2043,121628,-51402.9069
EU27,kia,2024,S1,20,2044,118354,-54158.0032
EU27,kia,2024,S1,21,2045,51872,-18620.3285
EU27,kia,2024,S1,22,2046,45120,-16326.8897
EU27,kia,2024,S1,23,2047,37958,-7876.0318
EU27,kia,2024,S1,24,2048,4084,-3340.2745
EU27,kia,2024,S2,0,2024,379021,16717.2532
EU27,kia,2024,S2,1,2025,379021,-11119.7232
EU27,kia,2024,S2,2,2026,379021,-37775.1868
EU27,kia,2024,S2,3,2027,379021,-63297.8371
EU27,kia,2024,S2,4,2028,379021,-87734.5034
EU27,kia,2024,S2,5,2029,379021,-111130.2036
EU27,kia,2024,S2,6,2030,379021,-133528.2015
EU27,kia,2024,S2,7,2031,379021,-154970.0639
EU27,kia,2024,S2,8,2032,379021,-175495.7173
EU27,kia,2024,S2,9,2033,379021,-195143.504
EU27,kia,2024,S2,10,2034,379021,-213950.2359
EU27,kia,2024,S2,11,2035,379021,-231951.2494
EU27,kia,2024,S2,12,2036,379021,-249180.4571
EU27,kia,2024,S2,13,2037,379021,-265670.3996
EU27,kia,2024,S2,14,2038,364731,-270876.0131
EU27,kia,2024,S2,15,2039,289376,-236054.8632
EU27,kia,2024,S2,16,2040,236605,-221956.9419
EU27,kia,2024,S2,17,2041,193813,-198399.1005
EU27,kia,2024,S2,18,2042,191527,-202914.71
EU27,kia,2024,S2,19,2043,121628,-128673.4144
EU27,kia,2024,S2,20,2044,118354,-129567.225
EU27,kia,2024,S2,21,2045,51872,-67162.9032
EU27,kia,2024,S2,22,2046,45120,-60192.4745
EU27,kia,2024,S2,23,2047,37958,-54061.0668
EU27,kia,2024,S2,24,2048,4084,-6295.9552
EU27,kia,2024,S3,0,2024,379021,16717.2532
EU27,kia,2024,S3,1,2025,379021,-71731.5671
EU27,kia,2024,S3,2,2026,379021,-148141.4576
EU27,kia,2024,S3,3,2027,379021,-214146.5462
EU27,kia,2024,S3,4,2028,379021,-271159.5322
EU27,kia,2024,S3,5,2029,379021,-320401.6586
EU27,kia,2024,S3,6,2030,379021,-362928.6288
EU27,kia,2024,S3,7,2031,379021,-399653.0185
EU27,kia,2024,S3,8,2032,379021,-431363.6551
EU27,kia,2024,S3,9,2033,379021,-458742.3756
EU27,kia,2024,S3,10,2034,379021,-482378.5172
EU27,kia,2024,S3,11,2035,379021,-502781.4465
EU27,kia,2024,S3,12,2036,379021,-520391.394
EU27,kia,2024,S3,13,2037,379021,-535588.8213
EU27,kia,2024,S3,14,2038,364731,-526823.7592
EU27,kia,2024,S3,15,2039,289376,-434556.3808
EU27,kia,2024,S3,16,2040,236605,-382771.1155
EU27,kia,2024,S3,17,2041,193813,-328586.5354
EU27,kia,2024,S3,18,2042,191527,-327548.9645
EU27,kia,2024,S3,19,2043,121628,-207999.2021
EU27,kia,2024,S3,20,2044,118354,-203509.5321
EU27,kia,2024,S3,21,2045,51872,-94497.7656
EU27,kia,2024,S3,22,2046,45120,-82703.8056
EU27,kia,2024,S3,23,2047,37958,-72394.1418
EU27,kia,2024,S3,24,2048,4084,-8039.091
EU27,nissan,2024,S1,0,2024,197588,-22811.4776
