company,market,cohort_year,powertrain,scenario,units,ti_tco2e,ti_per_vehicle_kgco2e,direction
honda,EU27,2024,BEV,S1,2706,53084.7367,19617.4193,contribution
honda,EU27,2024,BEV,S2,2706,46131.6259,17047.9031,contribution
honda,EU27,2024,BEV,S3,2706,23671.7267,8747.8665,contribution
honda,EU27,2024,HEV,S1,35405,-197919.2657,-5590.1501,liability
honda,EU27,2024,HEV,S2,35405,-405951.6883,-11465.9423,liability
honda,EU27,2024,HEV,S3,35405,-771133.0548,-21780.3433,liability
honda,EU27,2024,ICE,S1,460,-9623.4067,-20920.4493,liability
honda,EU27,2024,ICE,S2,460,-12328.7641,-26801.6611,liability
honda,EU27,2024,ICE,S3,460,-17060.2595,-37087.5207,liability
hyundai,EU27,2024,BEV,S1,41044,776189.919,18911.1665,contribution
hyundai,EU27,2024,BEV,S2,41044,652231.6755,15891.0359,contribution
hyundai,EU27,2024,BEV,S3,41044,318228.2977,7753.3451,contribution
hyundai,EU27,2024,HEV,S1,170759,-1143733.5264,-6697.9399,liability
hyundai,EU27,2024,HEV,S2,170759,-2080071.2715,-12181.3273,liability
hyundai,EU27,2024,HEV,S3,170759,-3838107.711,-22476.7521,liability
hyundai,EU27,2024,ICE,S1,198154,-1289426.4932,-6507.1939,liability
hyundai,EU27,2024,ICE,S2,198154,-2396035.0677,-12091.7825,liability
hyundai,EU27,2024,ICE,S3,198154,-4479241.0638,-22604.8481,liability
hyundai,KR,2024,BEV,S1,30045,517702.6943,17230.9101,contribution
hyundai,KR,2024,BEV,S2,30045,345634.5534,11503.8959,contribution
hyundai,KR,2024,BEV,S3,30045,263538.8181,8771.4701,contribution
hyundai,KR,2024,HEV,S1,146067,1036497.5944,7096.0422,contribution
hyundai,KR,2024,HEV,S2,146067,19345.248,132.4409,contribution
hyundai,KR,2024,HEV,S3,146067,-528021.6296,-3614.9276,liability
hyundai,KR,2024,ICE,S1,239192,340211.8737,1422.338,contribution
hyundai,KR,2024,ICE,S2,239192,-1325425.8411,-5541.2633,liability
hyundai,KR,2024,ICE,S3,239192,-2221766.4118,-9288.6318,liability
hyundai,KR,2025,BEV,S1,40115,675663.8214,16843.1714,contribution
hyundai,KR,2025,BEV,S2,40115,447889.377,11165.1347,contribution
hyundai,KR,2025,BEV,S3,40115,339890.6865,8472.9076,contribution
hyundai,KR,2025,HEV,S1,177726,1148133.2112,6460.1308,contribution
hyundai,KR,2025,HEV,S2,177726,-89479.788,-503.4704,liability
hyundai,KR,2025,HEV,S3,177726,-755484.6054,-4250.839,liability
hyundai,KR,2025,ICE,S1,232629,342519.1491,1472.3837,contribution
hyundai,KR,2025,ICE,S2,232629,-1277416.4504,-5491.2176,liability
hyundai,KR,2025,ICE,S3,232629,-2149163.0416,-9238.5861,liability
hyundai,US,2024,BEV,S1,60771,1998838.7672,32891.3259,contribution
hyundai,US,2024,BEV,S3,60771,1371213.4425,22563.6149,contribution
hyundai,US,2024,HEV,S1,111141,1598655.1474,14384.027,contribution
hyundai,US,2024,HEV,S3,111141,-437832.757,-3939.4351,liability
hyundai,US,2024,ICE,S1,656314,-2038412.9097,-3105.8501,liability
hyundai,US,2024,ICE,S3,656314,-14064357.632,-21429.3122,liability
hyundai,US,2025,BEV,S1,61285,1914163.6559,31233.8036,contribution
hyundai,US,2025,BEV,S3,61285,1338008.9284,21832.568,contribution
hyundai,US,2025,HEV,S1,122706,1710033.5375,13936.0222,contribution
hyundai,US,2025,HEV,S3,122706,-538365.2063,-4387.4399,liability
hyundai,US,2025,ICE,S1,702903,-2120181.8109,-3016.322,liability
hyundai,US,2025,ICE,S3,702903,-14999798.3104,-21339.7842,liability
kia,EU27,2024,BEV,S1,49083,933774.4124,19024.3957,contribution
kia,EU27,2024,BEV,S2,49083,811483.6988,16532.8871,contribution
kia,EU27,2024,BEV,S3,49083,399438.9379,8138.0302,contribution
kia,EU27,2024,HEV,S1,139641,-1088251.1194,-7793.2063,liability
kia,EU27,2024,HEV,S2,139641,-1785007.1625,-12782.83,liability
kia,EU27,2024,HEV,S3,139641,-3267016.2359,-23395.8238,liability
kia,EU27,2024,ICE,S1,190297,-1365799.7899,-7177.2008,liability
kia,EU27,2024,ICE,S2,190297,-2516861.2329,-13225.9638,liability
kia,EU27,2024,ICE,S3,190297,-4504544.3613,-23671.1265,liability
kia,KR,2026,BEV,S1,69700,1171956.8723,16814.3023,contribution
kia,KR,2026,BEV,S2,69700,776451.8795,11139.9122,contribution
kia,KR,2026,BEV,S3,69700,589012.2619,8450.6781,contribution
kia,KR,2026,HEV,S1,8450,93082.7906,11015.7149,contribution
