company,cohort_year,analysis_level,layer1_method,covered_units,withheld_units,covered_share,tier_c_units,tier_c_share,directional_only,lifetime_t_central_years,markets_covered,markets_vkt_tier_a,markets_vkt_tier_b,markets_vkt_tier_c,markets_fleet_tier_c,withheld_reasons,warnings
hyundai,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),409957,19979,0.95353,198646,0.484553,False,18,26,12,2,12,12,"FCEV 22; PHEV 18,624; no_certified_value 1,333",FLEET_INTENSITY_IMPLAUSIBLE; VKT_PROXY
kia,2024,Level 1 (destination cohort; production origin not established),B (NDC pro-rata exponential decline),379021,35656,0.914015,182570,0.481688,False,18,26,12,2,12,12,"PHEV 34,150; no_certified_value 1,506",FLEET_INTENSITY_IMPLAUSIBLE; VKT_PROXY
