market,company,destination,segment,cohort_year,period,model,powertrain,units,basis,tailpipe_gco2_km,energy_wh_km,test_cycle,technology_source,sales_source_file,powertrain_rule,coverage_note,variant
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,BAYON,HEV,60,registrations,121.0,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,BAYON,ICE,705,registrations,125.573,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,G70 GENESIS G70,ICE,1,registrations,216.0,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,G90 GENESIS G90,HEV,2,registrations,257.0,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,GV70 GENESIS GV70,BEV,1,registrations,0.0,190.0,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,GV70 GENESIS GV70,ICE,1,registrations,196.0,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,I 30,HEV,324,registrations,140.6389,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,I 30,ICE,1631,registrations,135.076,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,I 30 N,ICE,17,registrations,189.9412,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,I10,ICE,1575,registrations,117.793,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,I20,ICE,2058,registrations,121.7089,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,I20 N,ICE,42,registrations,158.0,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,IONIQ5,BEV,144,registrations,0.0,175.3819,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,IONIQ5 N,BEV,77,registrations,0.0,212.0,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,IONIQ6,BEV,51,registrations,0.0,157.0392,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,KONA KAUAI,BEV,527,registrations,0.0,148.888,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,KONA KAUAI,HEV,630,registrations,105.8063,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,KONA KAUAI,ICE,451,registrations,136.5698,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,SANTA FE,HEV,11,registrations,160.3636,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,SANTA FE,ICE,8,registrations,176.75,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,STARIA,HEV,1,registrations,172.0,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,STARIA,ICE,17,registrations,226.8235,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,STARIA PREMIUM,ICE,2,registrations,232.0,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,TUCSON IX35,HEV,1849,registrations,144.8724,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,AT,passenger_car,2024,2024-01..2024-12,TUCSON IX35,ICE,727,registrations,156.8955,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,BE,passenger_car,2024,2024-01..2024-12,BAYON,HEV,309,registrations,119.6246,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,BE,passenger_car,2024,2024-01..2024-12,BAYON,ICE,493,registrations,123.3874,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,BE,passenger_car,2024,2024-01..2024-12,G80 GENESIS G80,ICE,1,registrations,192.0,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
EU27,hyundai,BE,passenger_car,2024,2024-01..2024-12,G90 GENESIS G90,HEV,1,registrations,246.0,,WLTP,eea_co2_monitoring_2024 (eea_hyundai_2024_final.json),eea_hyundai_2024_final.json,explicit,,central
