company,market,scenario,dimension,variant,parameter,ti_tco2e
kia,EU27,S1,realworld,high,"WLTP BEV 1.0, WLTP HEV 1.211, WLTP ICE 1.211",-1634390.8
kia,EU27,S1,realworld,low,"WLTP BEV 1.0, WLTP HEV 1.171, WLTP ICE 1.171",-1242572.8
kia,EU27,S1,vkt_proxy,central,market distance as published for tier-C markets,-1520276.5
kia,EU27,S1,vkt_proxy,high,upper quartile of measured distances,-2209803.0
kia,EU27,S1,vkt_proxy,low,lower quartile of measured distances,-826774.5
kia,EU27,S2,lifetime,central,T_c,-3490384.7
kia,EU27,S2,lifetime,minus,T_c - 3,-2551755.5
kia,EU27,S2,lifetime,plus,T_c + 3,-4547451.4
kia,EU27,S2,powertrain_mix,all_hev,mixed_central_ice cohort rows repriced with the hybrid of the same base model,-3490384.7
kia,EU27,S2,powertrain_mix,central,mixed_central_ice cohort rows priced as the rule states,-3490384.7
kia,EU27,S2,realworld,central,"WLTP BEV 1.0, WLTP HEV 1.211, WLTP ICE 1.191",-3490384.7
kia,EU27,S2,realworld,high,"WLTP BEV 1.0, WLTP HEV 1.211, WLTP ICE 1.211",-3604499.0
kia,EU27,S2,realworld,low,"WLTP BEV 1.0, WLTP HEV 1.171, WLTP ICE 1.171",-3212681.0
kia,EU27,S2,vkt_proxy,central,market distance as published for tier-C markets,-3490384.7
kia,EU27,S2,vkt_proxy,high,upper quartile of measured distances,-4179911.2
kia,EU27,S2,vkt_proxy,low,lower quartile of measured distances,-2796882.7
kia,EU27,S3,lifetime,central,T_c,-7372121.7
kia,EU27,S3,lifetime,minus,T_c - 3,-5670983.7
kia,EU27,S3,lifetime,plus,T_c + 3,-9142271.0
kia,EU27,S3,powertrain_mix,all_hev,mixed_central_ice cohort rows repriced with the hybrid of the same base model,-7372121.7
kia,EU27,S3,powertrain_mix,central,mixed_central_ice cohort rows priced as the rule states,-7372121.7
kia,EU27,S3,realworld,central,"WLTP BEV 1.0, WLTP HEV 1.211, WLTP ICE 1.191",-7372121.7
kia,EU27,S3,realworld,high,"WLTP BEV 1.0, WLTP HEV 1.211, WLTP ICE 1.211",-7486236.0
kia,EU27,S3,realworld,low,"WLTP BEV 1.0, WLTP HEV 1.171, WLTP ICE 1.171",-7094417.9
kia,EU27,S3,vkt_proxy,central,market distance as published for tier-C markets,-7372121.7
kia,EU27,S3,vkt_proxy,high,upper quartile of measured distances,-8060600.8
kia,EU27,S3,vkt_proxy,low,lower quartile of measured distances,-6679673.1
